hanzi,tl,frequency,poj,tl_num,poj_num,tps_num,tl_notone,poj_notone,tps_notone,tl_abbrev,poj_abbrev,tps_abbrev,kungge,is_variant
邊,pinn,5350,piⁿ,pinn1,pinn1,ㄅㆪ,pinn,pinn,ㄅㆪ,,,,True,False
畫,uē,2560,ōe,ue7,oe7,ㄨㆤ˫,ue,oe,ㄨㆤ,,,,True,False
龜,ku,2000,ku,ku1,ku1,ㄍㄨ,ku,ku,ㄍㄨ,,,,True,False
刻,khik,1154,khek,khik4,khek4,ㄎㄧㆻ,khik,khek,ㄎㄧㆻ,,,,True,False
黏,liâm,969,liâm,liam5,liam5,ㄌㄧㆰˊ,liam,liam,ㄌㄧㆰ,,,,True,False
鏡,kiànn,750,kiàⁿ,kiann3,kiann3,ㄍㄧㆩ˪,kiann,kiann,ㄍㄧㆩ,,,,True,False
割,kuah,700,koah,kuah4,koah4,ㄍㄨㄚㆷ,kuah,koah,ㄍㄨㄚㆷ,,,,True,False
剪,tsián,400,chián,tsian2,chian2,ㄐㄧㄢˋ,tsian,chian,ㄐㄧㄢ,,,,True,False
尺,tshioh,400,chhioh,tshioh4,chhioh4,ㄑㄧㄛㆷ,tshioh,chhioh,ㄑㄧㄛㆷ,,,,True,False
毛,moo,384,mo͘,moo1,moo1,ㄇㆦ,moo,moo,ㄇㆦ,,,,True,False
堆,tui,350,tui,tui1,tui1,ㄉㄨㄧ,tui,tui,ㄉㄨㄧ,,,,True,False
塑,sok,300,sok,sok4,sok4,ㄙㆦㆻ,sok,sok,ㄙㆦㆻ,,,,True,False
摃,kòng,300,kòng,kong3,kong3,ㄍㆲ˪,kong,kong,ㄍㆲ,,,,True,False
貼,tah,300,tah,tah4,tah4,ㄉㄚㆷ,tah,tah,ㄉㄚㆷ,,,,True,False
敲,khà,200,khà,kha3,kha3,ㄎㄚ˪,kha,kha,ㄎㄚ,,,,True,False
疊,tha̍h,200,tha̍h,thah8,thah8,ㄊㄚㆷ̇,thah,thah,ㄊㄚㆷ,,,,True,False
設計,siat-kè,101,siat-kè,siat4ke3,siat4ke3,ㄒㄧㄚㆵㄍㆤ˪,siatke,siatke,ㄒㄧㄚㆵㄍㆤ,sk,sk,ㄒㄍ,True,False
鶴,ho̍h,100,ho̍h,hoh8,hoh8,ㄏㄛㆷ̇,hoh,hoh,ㄏㄛㆷ,,,,True,False
捏,liap,50,liap,liap4,liap4,ㄌㄧㄚㆴ,liap,liap,ㄌㄧㄚㆴ,,,,True,False
繞,liáu,50,liáu,liau2,liau2,ㄌㄧㄠˋ,liau,liau,ㄌㄧㄠ,,,,True,False
一吞,tsi̍t-thun,25,chi̍t-thun,tsit8thun1,chit8thun1,ㄐㄧㆵ̇ㄊㄨㄣ,tsitthun,chitthun,ㄐㄧㆵㄊㄨㄣ,tt,ct,ㄐㄊ,True,False
三花,sam-hue,25,sam-hoe,sam1hue1,sam1hoe1,ㄙㆰㄏㄨㆤ,samhue,samhoe,ㄙㆰㄏㄨㆤ,sh,sh,ㄙㄏ,True,False
九層,káu-tsan,25,káu-chan,kau2tsan1,kau2chan1,ㄍㄠˋㄗㄢ,kautsan,kauchan,ㄍㄠㄗㄢ,kt,kc,ㄍㄗ,True,False
令旗,līng-kî,25,lēng-kî,ling7ki5,leng7ki5,ㄌㄧㄥ˫ㄍㄧˊ,lingki,lengki,ㄌㄧㄥㄍㄧ,lk,lk,ㄌㄍ,True,False
作椅,tsoh-í,25,choh-í,tsoh4i2,choh4i2,ㄗㄛㆷㄧˋ,tsohi,chohi,ㄗㄛㆷㄧ,ti,ci,ㄗㄧ,True,False
保青,pó-tshenn,25,pó-chheⁿ,po2tshenn1,po2chhenn1,ㄅㄛˋㄘㆥ,potshenn,pochhenn,ㄅㄛㄘㆥ,pt,pc,ㄅㄘ,True,True
修光,siu-kng,25,siu-kng,siu1kng1,siu1kng1,ㄒㄧㄨㄍㆭ,siukng,siukng,ㄒㄧㄨㄍㆭ,sk,sk,ㄒㄍ,True,False
倒角,tò-kak,25,tò-kak,to3kak4,to3kak4,ㄉㄛ˪ㄍㄚㆻ,tokak,tokak,ㄉㄛㄍㄚㆻ,tk,tk,ㄉㄍ,True,False
傍仔,png-á,25,png-á,png1a2,png1a2,ㄅㆭㄚˋ,pnga,pnga,ㄅㆭㄚ,pa,pa,ㄅㄚ,True,False
冷盤,líng-puânn,25,léng-pôaⁿ,ling2puann5,leng2poann5,ㄌㄧㄥˋㄅㄨㆩˊ,lingpuann,lengpoann,ㄌㄧㄥㄅㄨㆩ,lp,lp,ㄌㄅ,True,False
凹剾,nah-khau,25,nah-khau,nah4khau1,nah4khau1,ㄋㄚㆷㄎㄠ,nahkhau,nahkhau,ㄋㄚㆷㄎㄠ,nk,nk,ㄋㄎ,True,False
出芽,tshut-gê,25,chhut-gê,tshut4ge5,chhut4ge5,ㄘㄨㆵㆣㆤˊ,tshutge,chhutge,ㄘㄨㆵㆣㆤ,tg,cg,ㄘㆣ,True,False
分座,hun-tsō,25,hun-chō,hun1tso7,hun1cho7,ㄏㄨㄣㄗㄛ˫,huntso,huncho,ㄏㄨㄣㄗㄛ,ht,hc,ㄏㄗ,True,False
分線,pun-suànn,25,pun-sòaⁿ,pun1suann3,pun1soann3,ㄅㄨㄣㄙㄨㆩ˪,punsuann,punsoann,ㄅㄨㄣㄙㄨㆩ,ps,ps,ㄅㄙ,True,False
切仔,tshiat-á,25,chhiat-á,tshiat4a2,chhiat4a2,ㄑㄧㄚㆵㄚˋ,tshiata,chhiata,ㄑㄧㄚㆵㄚ,ta,ca,ㄑㄚ,True,False
切檯,tshiat-tâi,25,chhiat-tâi,tshiat4tai5,chhiat4tai5,ㄑㄧㄚㆵㄉㄞˊ,tshiattai,chhiattai,ㄑㄧㄚㆵㄉㄞ,tt,ct,ㄑㄉ,True,False
切針,tshiat-tsiam,25,chhiat-chiam,tshiat4tsiam1,chhiat4chiam1,ㄑㄧㄚㆵㄐㄧㆰ,tshiattsiam,chhiatchiam,ㄑㄧㄚㆵㄐㄧㆰ,tt,cc,ㄑㄐ,True,False
刮刀,kueh-to,25,koeh-to,kueh4to1,koeh4to1,ㄍㄨㆤㆷㄉㄛ,kuehto,koehto,ㄍㄨㆤㆷㄉㄛ,kt,kt,ㄍㄉ,True,False
刮青,kueh-tshenn,25,koeh-chheⁿ,kueh4tshenn1,koeh4chhenn1,ㄍㄨㆤㆷㄘㆥ,kuehtshenn,koehchhenn,ㄍㄨㆤㆷㄘㆥ,kt,kc,ㄍㄘ,True,True
刻字,khik-jī,25,khek-jī,khik4ji7,khek4ji7,ㄎㄧㆻㆢㄧ˫,khikji,khekji,ㄎㄧㆻㆢㄧ,kj,kj,ㄎㆢ,True,False
刻花,khik-hue,25,khek-hoe,khik4hue1,khek4hoe1,ㄎㄧㆻㄏㄨㆤ,khikhue,khekhoe,ㄎㄧㆻㄏㄨㆤ,kh,kh,ㄎㄏ,True,False
剪仔,tsián-á,25,chián-á,tsian2a2,chian2a2,ㄐㄧㄢˋㄚˋ,tsiana,chiana,ㄐㄧㄢㄚ,ta,ca,ㄐㄚ,True,False
剪黏,tsián-liâm,25,chián-liâm,tsian2liam5,chian2liam5,ㄐㄧㄢˋㄌㄧㆰˊ,tsianliam,chianliam,ㄐㄧㄢㄌㄧㆰ,tl,cl,ㄐㄌ,True,False
剾刀,khau-to,25,khau-to,khau1to1,khau1to1,ㄎㄠㄉㄛ,khauto,khauto,ㄎㄠㄉㄛ,kt,kt,ㄎㄉ,True,False
剾枋,khau-pang,25,khau-pang,khau1pang1,khau1pang1,ㄎㄠㄅㄤ,khaupang,khaupang,ㄎㄠㄅㄤ,kp,kp,ㄎㄅ,True,False
劍指,kiàm-kí,25,kiàm-kí,kiam3ki2,kiam3ki2,ㄍㄧㆰ˪ㄍㄧˋ,kiamki,kiamki,ㄍㄧㆰㄍㄧ,kk,kk,ㄍㄍ,True,False
劍獅,kiàm-sai,25,kiàm-sai,kiam3sai1,kiam3sai1,ㄍㄧㆰ˪ㄙㄞ,kiamsai,kiamsai,ㄍㄧㆰㄙㄞ,ks,ks,ㄍㄙ,True,False
包布,pau-pòo,25,pau-pò͘,pau1poo3,pau1poo3,ㄅㄠㄅㆦ˪,paupoo,paupoo,ㄅㄠㄅㆦ,pp,pp,ㄅㄅ,True,True
包管,pau-kóng,25,pau-kóng,pau1kong2,pau1kong2,ㄅㄠㄍㆲˋ,paukong,paukong,ㄅㄠㄍㆲ,pk,pk,ㄅㄍ,True,False
化色,huà-sik,25,hòa-sek,hua3sik4,hoa3sek4,ㄏㄨㄚ˪ㄒㄧㆻ,huasik,hoasek,ㄏㄨㄚㄒㄧㆻ,hs,hs,ㄏㄒ,True,False
北式,pak-sik,25,pak-sek,pak4sik4,pak4sek4,ㄅㄚㆻㄒㄧㆻ,paksik,paksek,ㄅㄚㆻㄒㄧㆻ,ps,ps,ㄅㄒ,True,False
南式,lâm-sik,25,lâm-sek,lam5sik4,lam5sek4,ㄌㆰˊㄒㄧㆻ,lamsik,lamsek,ㄌㆰㄒㄧㆻ,ls,ls,ㄌㄒ,True,False
博古,phok-kóo,25,phok-kó͘,phok4koo2,phok4koo2,ㄆㆦㆻㄍㆦˋ,phokkoo,phokkoo,ㄆㆦㆻㄍㆦ,pk,pk,ㄆㄍ,True,False
印台,ìn-tâi,25,ìn-tâi,in3tai5,in3tai5,ㄧㄣ˪ㄉㄞˊ,intai,intai,ㄧㄣㄉㄞ,it,it,ㄧㄉ,True,False
印花,ìn-hue,25,ìn-hoe,in3hue1,in3hoe1,ㄧㄣ˪ㄏㄨㆤ,inhue,inhoe,ㄧㄣㄏㄨㆤ,ih,ih,ㄧㄏ,True,False
卵殼,nn̄g-khak,25,nn̄g-khak,nng7khak4,nng7khak4,ㄋㆭ˫ㄎㄚㆻ,nngkhak,nngkhak,ㄋㆭㄎㄚㆻ,nk,nk,ㄋㄎ,True,False
古錢,kóo-tsînn,25,kó͘-chîⁿ,koo2tsinn5,koo2chinn5,ㄍㆦˋㄐㆪˊ,kootsinn,koochinn,ㄍㆦㄐㆪ,kt,kc,ㄍㄐ,True,False
吊夾,tiàu-ngeh,25,tiàu-ngeh,tiau3ngeh4,tiau3ngeh4,ㄉㄧㄠ˪ㄫㆤㆷ,tiaungeh,tiaungeh,ㄉㄧㄠㄫㆤㆷ,tn,tn,ㄉㄫ,True,False
吊花,tiàu-hue,25,tiàu-hoe,tiau3hue1,tiau3hoe1,ㄉㄧㄠ˪ㄏㄨㆤ,tiauhue,tiauhoe,ㄉㄧㄠㄏㄨㆤ,th,th,ㄉㄏ,True,False
吊鑽,tiàu-tsǹg,25,tiàu-chǹg,tiau3tsng3,tiau3chng3,ㄉㄧㄠ˪ㄗㆭ˪,tiautsng,tiauchng,ㄉㄧㄠㄗㆭ,tt,tc,ㄉㄗ,True,False
名牌,bîng-pâi,25,bêng-pâi,bing5pai5,beng5pai5,ㆠㄧㄥˊㄅㄞˊ,bingpai,bengpai,ㆠㄧㄥㄅㄞ,bp,bp,ㆠㄅ,True,False
吟龍,gîm-lîng,25,gîm-lêng,gim5ling5,gim5leng5,ㆣㄧㆬˊㄌㄧㄥˊ,gimling,gimleng,ㆣㄧㆬㄌㄧㄥ,gl,gl,ㆣㄌ,True,False
喙舌,tshuì-tsi̍h,25,chhùi-chi̍h,tshui3tsih8,chhui3chih8,ㄘㄨㄧ˪ㄐㄧㆷ̇,tshuitsih,chhuichih,ㄘㄨㄧㄐㄧㆷ,tt,cc,ㄘㄐ,True,False
噴漆,phùn-tshat,25,phùn-chhat,phun3tshat4,phun3chhat4,ㄆㄨㄣ˪ㄘㄚㆵ,phuntshat,phunchhat,ㄆㄨㄣㄘㄚㆵ,pt,pc,ㄆㄘ,True,False
噴膠,phùn-ka,25,phùn-ka,phun3ka1,phun3ka1,ㄆㄨㄣ˪ㄍㄚ,phunka,phunka,ㄆㄨㄣㄍㄚ,pk,pk,ㄆㄍ,True,False
噴銃,phùn-tshìng,25,phùn-chhèng,phun3tshing3,phun3chheng3,ㄆㄨㄣ˪ㄑㄧㄥ˪,phuntshing,phunchheng,ㄆㄨㄣㄑㄧㄥ,pt,pc,ㄆㄑ,True,False
圍巾,uî-kin,25,ûi-kin,ui5kin1,ui5kin1,ㄨㄧˊㄍㄧㄣ,uikin,uikin,ㄨㄧㄍㄧㄣ,uk,uk,ㄨㄍ,True,False
圓桶,înn-táng,25,îⁿ-táng,inn5tang2,inn5tang2,ㆪˊㄉㄤˋ,inntang,inntang,ㆪㄉㄤ,it,it,ㆪㄉ,True,False
圓目,înn-ba̍k,25,îⁿ-ba̍k,inn5bak8,inn5bak8,ㆪˊㆠㄚㆻ̇,innbak,innbak,ㆪㆠㄚㆻ,ib,ib,ㆪㆠ,True,False
地磅,tē-pōng,25,tē-pōng,te7pong7,te7pong7,ㄉㆤ˫ㄅㆲ˫,tepong,tepong,ㄉㆤㄅㆲ,tp,tp,ㄉㄅ,True,False
坐五,tsē-gōo,25,chē-gō͘,tse7goo7,che7goo7,ㄗㆤ˫ㆣㆦ˫,tsegoo,chegoo,ㄗㆤㆣㆦ,tg,cg,ㄗㆣ,True,False
