hanzi,tl,frequency,poj,tl_num,poj_num,tps_num,tl_notone,poj_notone,tps_notone,tl_abbrev,poj_abbrev,tps_abbrev,stti,is_variant
頭,thâu,34601,thâu,thau5,thau5,ㄊㄠˊ,thau,thau,ㄊㄠ,,,,True,False
大,tuā,30086,tōa,tua7,toa7,ㄉㄨㄚ˫,tua,toa,ㄉㄨㄚ,,,,True,False
面,bīn,18694,bīn,bin7,bin7,ㆠㄧㄣ˫,bin,bin,ㆠㄧㄣ,,,,True,False
水,tsuí,18181,chúi,tsui2,chui2,ㄗㄨㄧˋ,tsui,chui,ㄗㄨㄧ,,,,True,False
年,nî,16886,nî,ni5,ni5,ㄋㄧˊ,ni,ni,ㄋㄧ,,,,True,False
日,ji̍t,14244,ji̍t,jit8,jit8,ㆢㄧㆵ̇,jit,jit,ㆢㄧㆵ,,,,True,False
工,kang,12379,kang,kang1,kang1,ㄍㄤ,kang,kang,ㄍㄤ,,,,True,False
跤,kha,10537,kha,kha1,kha1,ㄎㄚ,kha,kha,ㄎㄚ,,,,True,False
風,hong,9297,hong,hong1,hong1,ㄏㆲ,hong,hong,ㄏㆲ,,,,True,False
字,jī,9159,jī,ji7,ji7,ㆢㄧ˫,ji,ji,ㆢㄧ,,,,True,False
發,huat,9126,hoat,huat4,hoat4,ㄏㄨㄚㆵ,huat,hoat,ㄏㄨㄚㆵ,,,,True,False
影,iánn,9036,iáⁿ,iann2,iann2,ㄧㆩˋ,iann,iann,ㄧㆩ,,,,True,False
厝,tshù,8959,chhù,tshu3,chhu3,ㄘㄨ˪,tshu,chhu,ㄘㄨ,,,,True,False
小,sió,8653,sió,sio2,sio2,ㄒㄧㄛˋ,sio,sio,ㄒㄧㄛ,,,,True,False
分,hun,8581,hun,hun1,hun1,ㄏㄨㄣ,hun,hun,ㄏㄨㄣ,,,,True,False
音,im,8544,im,im1,im1,ㄧㆬ,im,im,ㄧㆬ,,,,True,False
花,hue,7690,hoe,hue1,hoe1,ㄏㄨㆤ,hue,hoe,ㄏㄨㆤ,,,,True,False
加,ka,7091,ka,ka1,ka1,ㄍㄚ,ka,ka,ㄍㄚ,,,,True,True
點,tiám,7036,tiám,tiam2,tiam2,ㄉㄧㆰˋ,tiam,tiam,ㄉㄧㆰ,,,,True,False
力,li̍k,6904,le̍k,lik8,lek8,ㄌㄧㆻ̇,lik,lek,ㄌㄧㆻ,,,,True,False
電,tiān,6698,tiān,tian7,tian7,ㄉㄧㄢ˫,tian,tian,ㄉㄧㄢ,,,,True,False
名,miâ,6546,miâ,mia5,mia5,ㄇㄧㄚˊ,mia,mia,ㄇㄧㄚ,,,,True,False
度,tōo,6182,tō͘,too7,too7,ㄉㆦ˫,too,too,ㄉㆦ,,,,True,False
濟,tsē,6126,chē,tse7,che7,ㄗㆤ˫,tse,che,ㄗㆤ,,,,True,False
比,pí,5713,pí,pi2,pi2,ㄅㄧˋ,pi,pi,ㄅㄧ,,,,True,False
月,gue̍h,5651,goe̍h,gueh8,goeh8,ㆣㄨㆤㆷ̇,gueh,goeh,ㆣㄨㆤㆷ,,,,True,False
邊,pinn,5350,piⁿ,pinn1,pinn1,ㄅㆪ,pinn,pinn,ㄅㆪ,,,,True,False
魚,hî,5259,hî,hi5,hi5,ㄏㄧˊ,hi,hi,ㄏㄧ,,,,True,False
草,tsháu,4667,chháu,tshau2,chhau2,ㄘㄠˋ,tshau,chhau,ㄘㄠ,,,,True,False
細,sè,4559,sè,se3,se3,ㄙㆤ˪,se,se,ㄙㆤ,,,,True,False
長,tn̂g,4422,tn̂g,tng5,tng5,ㄉㆭˊ,tng,tng,ㄉㆭ,,,,True,False
正,tsìng,4364,chèng,tsing3,cheng3,ㄐㄧㄥ˪,tsing,cheng,ㄐㄧㄥ,,,,True,False
底,té,4318,té,te2,te2,ㄉㆤˋ,te,te,ㄉㆤ,,,,True,False
田,tshân,4120,chhân,tshan5,chhan5,ㄘㄢˊ,tshan,chhan,ㄘㄢ,,,,True,False
樹,tshiū,4070,chhiū,tshiu7,chhiu7,ㄑㄧㄨ˫,tshiu,chhiu,ㄑㄧㄨ,,,,True,False
和,hô,3885,hô,ho5,ho5,ㄏㄛˊ,ho,ho,ㄏㄛ,,,,True,False
詩,si,3665,si,si1,si1,ㄒㄧ,si,si,ㄒㄧ,,,,True,False
角,kak,3575,kak,kak4,kak4,ㄍㄚㆻ,kak,kak,ㄍㄚㆻ,,,,True,False
形,hîng,3419,hêng,hing5,heng5,ㄏㄧㄥˊ,hing,heng,ㄏㄧㄥ,,,,True,False
句,kù,3378,kù,ku3,ku3,ㄍㄨ˪,ku,ku,ㄍㄨ,,,,True,False
燒,sio,3369,sio,sio1,sio1,ㄒㄧㄛ,sio,sio,ㄒㄧㄛ,,,,True,False
望,bōng,3218,bōng,bong7,bong7,ㆠㆲ˫,bong,bong,ㆠㆲ,,,,True,False
紙,tsuá,3134,chóa,tsua2,choa2,ㄗㄨㄚˋ,tsua,choa,ㄗㄨㄚ,,,,True,False
詞,sû,2871,sû,su5,su5,ㄙㄨˊ,su,su,ㄙㄨ,,,,True,False
數,sòo,2832,sò͘,soo3,soo3,ㄙㆦ˪,soo,soo,ㄙㆦ,,,,True,False
球,kiû,2784,kiû,kiu5,kiu5,ㄍㄧㄨˊ,kiu,kiu,ㄍㄧㄨ,,,,True,False
量,liōng,2765,liōng,liong7,liong7,ㄌㄧㆲ˫,liong,liong,ㄌㄧㆲ,,,,True,False
光,kng,2761,kng,kng1,kng1,ㄍㆭ,kng,kng,ㄍㆭ,,,,True,False
懸,kuân,2753,koân,kuan5,koan5,ㄍㄨㄢˊ,kuan,koan,ㄍㄨㄢ,,,,True,False
差,tsha,2740,chha,tsha1,chha1,ㄘㄚ,tsha,chha,ㄘㄚ,,,,True,False
雨,hōo,2449,hō͘,hoo7,hoo7,ㄏㆦ˫,hoo,hoo,ㄏㆦ,,,,True,False
力,la̍t,2342,la̍t,lat8,lat8,ㄌㄚㆵ̇,lat,lat,ㄌㄚㆵ,,,,True,False
班,pan,2292,pan,pan1,pan1,ㄅㄢ,pan,pan,ㄅㄢ,,,,True,False
熱,jia̍t,2275,jia̍t,jiat8,jiat8,ㆢㄧㄚㆵ̇,jiat,jiat,ㆢㄧㄚㆵ,,,,True,False
鼓,kóo,2258,kó͘,koo2,koo2,ㄍㆦˋ,koo,koo,ㄍㆦ,,,,True,False
湖,ôo,2109,ô͘,oo5,oo5,ㆦˊ,oo,oo,ㆦ,,,,True,False
批,phue,1936,phoe,phue1,phoe1,ㄆㄨㆤ,phue,phoe,ㄆㄨㆤ,,,,True,False
圓,înn,1855,îⁿ,inn5,inn5,ㆪˊ,inn,inn,ㆪ,,,,True,False
除,tî,1812,tî,ti5,ti5,ㄉㄧˊ,ti,ti,ㄉㄧ,,,,True,False
商,siong,1750,siong,siong1,siong1,ㄒㄧㆲ,siong,siong,ㄒㄧㆲ,,,,True,False
短,té,1674,té,te2,te2,ㄉㆤˋ,te,te,ㄉㆤ,,,,True,False
堅,kian,1553,kian,kian1,kian1,ㄍㄧㄢ,kian,kian,ㄍㄧㄢ,,,,True,False
根,kin,1550,kin,kin1,kin1,ㄍㄧㄣ,kin,kin,ㄍㄧㄣ,,,,True,False
少,tsió,1505,chió,tsio2,chio2,ㄐㄧㄛˋ,tsio,chio,ㄐㄧㄛ,,,,True,False
減,kiám,1370,kiám,kiam2,kiam2,ㄍㄧㆰˋ,kiam,kiam,ㄍㄧㆰ,,,,True,False
星,tshenn,1288,chheⁿ,tshenn1,chhenn1,ㄘㆥ,tshenn,chhenn,ㄘㆥ,,,,True,False
飛,pue,1258,poe,pue1,poe1,ㄅㄨㆤ,pue,poe,ㄅㄨㆤ,,,,True,False
街,ke,1223,ke,ke1,ke1,ㄍㆤ,ke,ke,ㄍㆤ,,,,True,False
厚,kāu,1200,kāu,kau7,kau7,ㄍㄠ˫,kau,kau,ㄍㄠ,,,,True,False
刻,khik,1154,khek,khik4,khek4,ㄎㄧㆻ,khik,khek,ㄎㄧㆻ,,,,True,False
雲,hûn,1098,hûn,hun5,hun5,ㄏㄨㄣˊ,hun,hun,ㄏㄨㄣ,,,,True,False
節,tsat,1067,chat,tsat4,chat4,ㄗㄚㆵ,tsat,chat,ㄗㄚㆵ,,,,True,False
粗,tshoo,1050,chho͘,tshoo1,chhoo1,ㄘㆦ,tshoo,chhoo,ㄘㆦ,,,,True,False
闊,khuah,1014,khoah,khuah4,khoah4,ㄎㄨㄚㆷ,khuah,khoah,ㄎㄨㄚㆷ,,,,True,False
鹽,iâm,950,iâm,iam5,iam5,ㄧㆰˊ,iam,iam,ㄧㆰ,,,,True,False
所在,sóo-tsāi,902,só͘-chāi,soo2tsai7,soo2chai7,ㄙㆦˋㄗㄞ˫,sootsai,soochai,ㄙㆦㄗㄞ,st,sc,ㄙㄗ,True,False
板,pán,900,pán,pan2,pan2,ㄅㄢˋ,pan,pan,ㄅㄢ,,,,True,False
曲,khik,878,khek,khik4,khek4,ㄎㄧㆻ,khik,khek,ㄎㄧㆻ,,,,True,False
卵,nn̄g,850,nn̄g,nng7,nng7,ㄋㆭ˫,nng,nng,ㄋㆭ,,,,True,False
鹿,lo̍k,800,lo̍k,lok8,lok8,ㄌㆦㆻ̇,lok,lok,ㄌㆦㆻ,,,,True,False
冰,ping,750,peng,ping1,peng1,ㄅㄧㄥ,ping,peng,ㄅㄧㄥ,,,,True,False
積,tsik,750,chek,tsik4,chek4,ㄐㄧㆻ,tsik,chek,ㄐㄧㆻ,,,,True,False
腰,io,750,io,io1,io1,ㄧㄛ,io,io,ㄧㄛ,,,,True,False
霧,bū,750,bū,bu7,bu7,ㆠㄨ˫,bu,bu,ㆠㄨ,,,,True,False
面,biān,736,biān,bian7,bian7,ㆠㄧㄢ˫,bian,bian,ㆠㄧㄢ,,,,True,False
姓,sènn,682,sèⁿ,senn3,senn3,ㄙㆥ˪,senn,senn,ㄙㆥ,,,,True,False
了後,liáu-āu,584,liáu-āu,liau2au7,liau2au7,ㄌㄧㄠˋㄠ˫,liauau,liauau,ㄌㄧㄠㄠ,la,la,ㄌㄠ,True,False
朋友,pîng-iú,574,pêng-iú,ping5iu2,peng5iu2,ㄅㄧㄥˊㄧㄨˋ,pingiu,pengiu,ㄅㄧㄥㄧㄨ,pi,pi,ㄅㄧ,True,False
揀,kíng,550,kéng,king2,keng2,ㄍㄧㄥˋ,king,keng,ㄍㄧㄥ,,,,True,False
栽,tsai,550,chai,tsai1,chai1,ㄗㄞ,tsai,chai,ㄗㄞ,,,,True,False
滾,kún,550,kún,kun2,kun2,ㄍㄨㄣˋ,kun,kun,ㄍㄨㄣ,,,,True,False
酸,sng,550,sng,sng1,sng1,ㄙㆭ,sng,sng,ㄙㆭ,,,,True,False
象,tshiūnn,531,chhiūⁿ,tshiunn7,chhiunn7,ㄑㄧㆫ˫,tshiunn,chhiunn,ㄑㄧㆫ,,,,True,False
搶,tshiúnn,500,chhiúⁿ,tshiunn2,chhiunn2,ㄑㄧㆫˋ,tshiunn,chhiunn,ㄑㄧㆫ,,,,True,False
胃,uī,450,ūi,ui7,ui7,ㄨㄧ˫,ui,ui,ㄨㄧ,,,,True,False
雪,seh,450,seh,seh4,seh4,ㄙㆤㆷ,seh,seh,ㄙㆤㆷ,,,,True,False
坪,pênn,400,pêⁿ,penn5,penn5,ㄅㆥˊ,penn,penn,ㄅㆥ,,,,True,False
霜,sng,400,sng,sng1,sng1,ㄙㆭ,sng,sng,ㄙㆭ,,,,True,False
老師,lāu-su,394,lāu-su,lau7su1,lau7su1,ㄌㄠ˫ㄙㄨ,lausu,lausu,ㄌㄠㄙㄨ,ls,ls,ㄌㄙ,True,False
歕,pûn,350,pûn,pun5,pun5,ㄅㄨㄣˊ,pun,pun,ㄅㄨㄣ,,,,True,False
犁,lê,350,lê,le5,le5,ㄌㆤˊ,le,le,ㄌㆤ,,,,True,False
生活,sing-ua̍h,350,seng-oa̍h,sing1uah8,seng1oah8,ㄒㄧㄥㄨㄚㆷ̇,singuah,sengoah,ㄒㄧㄥㄨㄚㆷ,su,so,ㄒㄨ,True,False
肺,hì,350,hì,hi3,hi3,ㄏㄧ˪,hi,hi,ㄏㄧ,,,,True,False
輪,lián,350,lián,lian2,lian2,ㄌㄧㄢˋ,lian,lian,ㄌㄧㄢ,,,,True,False
時間,sî-kan,336,sî-kan,si5kan1,si5kan1,ㄒㄧˊㄍㄢ,sikan,sikan,ㄒㄧㄍㄢ,sk,sk,ㄒㄍ,True,False
學校,ha̍k-hāu,302,ha̍k-hāu,hak8hau7,hak8hau7,ㄏㄚㆻ̇ㄏㄠ˫,hakhau,hakhau,ㄏㄚㆻㄏㄠ,hh,hh,ㄏㄏ,True,False
扇,sìnn,300,sìⁿ,sinn3,sinn3,ㄒㆪ˪,sinn,sinn,ㄒㆪ,,,,True,False
翼,si̍t,300,si̍t,sit8,sit8,ㄒㄧㆵ̇,sit,sit,ㄒㄧㆵ,,,,True,False
雺,bông,300,bông,bong5,bong5,ㆠㆲˊ,bong,bong,ㆠㆲ,,,,True,False
講話,kóng-uē,296,kóng-ōe,kong2ue7,kong2oe7,ㄍㆲˋㄨㆤ˫,kongue,kongoe,ㄍㆲㄨㆤ,ku,ko,ㄍㄨ,True,False
日頭,ji̍t-thâu,284,ji̍t-thâu,jit8thau5,jit8thau5,ㆢㄧㆵ̇ㄊㄠˊ,jitthau,jitthau,ㆢㄧㆵㄊㄠ,jt,jt,ㆢㄊ,True,False
社會,siā-huē,272,siā-hōe,sia7hue7,sia7hoe7,ㄒㄧㄚ˫ㄏㄨㆤ˫,siahue,siahoe,ㄒㄧㄚㄏㄨㆤ,sh,sh,ㄒㄏ,True,False
白話字,pe̍h-uē-jī,262,pe̍h-ōe-jī,peh8ue7ji7,peh8oe7ji7,ㄅㆤㆷ̇ㄨㆤ˫ㆢㄧ˫,pehueji,pehoeji,ㄅㆤㆷㄨㆤㆢㄧ,puj,poj,ㄅㄨㆢ,True,False
醋,tshòo,250,chhò͘,tshoo3,chhoo3,ㄘㆦ˪,tshoo,chhoo,ㄘㆦ,,,,True,False
活動,ua̍h-tōng,238,oa̍h-tōng,uah8tong7,oah8tong7,ㄨㄚㆷ̇ㄉㆲ˫,uahtong,oahtong,ㄨㄚㆷㄉㆲ,ut,ot,ㄨㄉ,True,False
乘,sîng,228,sêng,sing5,seng5,ㄒㄧㄥˊ,sing,seng,ㄒㄧㄥ,,,,True,False
文化,bûn-huà,215,bûn-hòa,bun5hua3,bun5hoa3,ㆠㄨㄣˊㄏㄨㄚ˪,bunhua,bunhoa,ㆠㄨㄣㄏㄨㄚ,bh,bh,ㆠㄏ,True,False
道理,tō-lí,212,tō-lí,to7li2,to7li2,ㄉㄛ˫ㄌㄧˋ,toli,toli,ㄉㄛㄌㄧ,tl,tl,ㄉㄌ,True,False
大聲,tuā-siann,210,tōa-siaⁿ,tua7siann1,toa7siann1,ㄉㄨㄚ˫ㄒㄧㆩ,tuasiann,toasiann,ㄉㄨㄚㄒㄧㆩ,ts,ts,ㄉㄒ,True,False
運動,ūn-tōng,210,ūn-tōng,un7tong7,un7tong7,ㄨㄣ˫ㄉㆲ˫,untong,untong,ㄨㄣㄉㆲ,ut,ut,ㄨㄉ,True,False
性命,sènn-miā,209,sèⁿ-miā,senn3mia7,senn3mia7,ㄙㆥ˪ㄇㄧㄚ˫,sennmia,sennmia,ㄙㆥㄇㄧㄚ,sm,sm,ㄙㄇ,True,False
撇,phiat,200,phiat,phiat4,phiat4,ㄆㄧㄚㆵ,phiat,phiat,ㄆㄧㄚㆵ,,,,True,False
穎,ínn,200,íⁿ,inn2,inn2,ㆪˋ,inn,inn,ㆪ,,,,True,False
感謝,kám-siā,190,kám-siā,kam2sia7,kam2sia7,ㄍㆰˋㄒㄧㄚ˫,kamsia,kamsia,ㄍㆰㄒㄧㄚ,ks,ks,ㄍㄒ,True,False
天頂,thinn-tíng,188,thiⁿ-téng,thinn1ting2,thinn1teng2,ㄊㆪㄉㄧㄥˋ,thinnting,thinnteng,ㄊㆪㄉㄧㄥ,tt,tt,ㄊㄉ,True,False
