hanzi,tl,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,taigitv,is_variant
點,tiám,7036,tiám,tiam2,tiam2,ㄉㄧㆰˋ,,tiam,tiam,ㄉㄧㆰ,,,,,,True,False
掠,lia̍h,4324,lia̍h,liah8,liah8,ㄌㄧㄚㆷ̇,,liah,liah,ㄌㄧㄚㆷ,,,,,,True,False
局,kio̍k,2245,kio̍k,kiok8,kiok8,ㄍㄧㆦㆻ̇,,kiok,kiok,ㄍㄧㆦㆻ,,,,,,True,False
番,huan,2005,hoan,huan1,hoan1,ㄏㄨㄢ,,huan,hoan,ㄏㄨㄢ,,,,,,True,False
箍,khoo,1764,kho͘,khoo1,khoo1,ㄎㆦ,,khoo,khoo,ㄎㆦ,,,,,,True,False
拖,thua,1704,thoa,thua1,thoa1,ㄊㄨㄚ,,thua,thoa,ㄊㄨㄚ,,,,,,True,False
列,lia̍t,1678,lia̍t,liat8,liat8,ㄌㄧㄚㆵ̇,,liat,liat,ㄌㄧㄚㆵ,,,,,,True,False
型,hîng,1100,hêng,hing5,heng5,ㄏㄧㄥˊ,,hing,heng,ㄏㄧㄥ,,,,,,True,False
抾,khioh,900,khioh,khioh4,khioh4,ㄎㄧㄛㆷ,,khioh,khioh,ㄎㄧㄛㆷ,,,,,,True,False
摃,kòng,300,kòng,kong3,kong3,ㄍㆲ˪,,kong,kong,ㄍㆲ,,,,,,True,False
捲,kńg,250,kńg,kng2,kng2,ㄍㆭˋ,,kng,kng,ㄍㆭ,,,,,,True,False
疊,tha̍h,200,tha̍h,thah8,thah8,ㄊㄚㆷ̇,,thah,thah,ㄊㄚㆷ,,,,,,True,False
揤,tshi̍h,150,chhi̍h,tshih8,chhih8,ㄑㄧㆷ̇,,tshih,chhih,ㄑㄧㆷ,,,,,,True,False
欄,nuâ,150,nôa,nua5,noa5,ㄋㄨㄚˊ,,nua,noa,ㄋㄨㄚ,,,,,,True,False
