hanzi,tl,frequency,poj,tl_num,poj_num,tps_num,tps_num_var,tl_notone,poj_notone,tps_notone,tps_notone_var,tl_abbrev,poj_abbrev,tps_abbrev,tps_abbrev_var,khpoo,is_variant
着,tio̍h,8871,tio̍h,tioh8,tioh8,ㄉㄧㄛㆷ̇,,tioh,tioh,ㄉㄧㄛㆷ,,,,,,True,False
蔘,sim,1279,sim,sim1,sim1,ㄒㄧㆬ,,sim,sim,ㄒㄧㆬ,,,,,,True,True
爲,uī,1138,ūi,ui7,ui7,ㄨㄧ˫,,ui,ui,ㄨㄧ,,,,,,True,False
着,to̍h,1132,to̍h,toh8,toh8,ㄉㄛㆷ̇,,toh,toh,ㄉㄛㆷ,,,,,,True,False
壙,khǹg,963,khǹg,khng3,khng3,ㄎㆭ˪,,khng,khng,ㄎㆭ,,,,,,True,False
正實,tsiann-si̍t,500,chiaⁿ-si̍t,tsiann1sit8,chiann1sit8,ㄐㄧㆩㄒㄧㆵ̇,,tsiannsit,chiannsit,ㄐㄧㆩㄒㄧㆵ,,ts,cs,ㄐㄒ,,True,False
侢,tsāi,350,chāi,tsai7,chai7,ㄗㄞ˫,,tsai,chai,ㄗㄞ,,,,,,True,False
卍,bān,293,bān,ban7,ban7,ㆠㄢ˫,,ban,ban,ㆠㄢ,,,,,,True,False
歳,suè,260,sòe,sue3,soe3,ㄙㄨㆤ˪,,sue,soe,ㄙㄨㆤ,,,,,,True,False
菓,ké,176,ké,ke2,ke2,ㄍㆤˋ,,ke,ke,ㄍㆤ,,,,,,True,False
罣,kuà,169,kòa,kua3,koa3,ㄍㄨㄚ˪,,kua,koa,ㄍㄨㄚ,,,,,,True,False
歳,hè,157,hè,he3,he3,ㄏㆤ˪,,he,he,ㄏㆤ,,,,,,True,False
鈎,kau,150,kau,kau1,kau1,ㄍㄠ,,kau,kau,ㄍㄠ,,,,,,True,False
叙,sū,102,sū,su7,su7,ㄙㄨ˫,,su,su,ㄙㄨ,,,,,,True,False
食,sū,102,sū,su7,su7,ㄙㄨ˫,,su,su,ㄙㄨ,,,,,,True,False
葵,khe,101,khe,khe1,khe1,ㄎㆤ,,khe,khe,ㄎㆤ,,,,,,True,False
艸,tsháu,100,chháu,tshau2,chhau2,ㄘㄠˋ,,tshau,chhau,ㄘㄠ,,,,,,True,False
閑,ân,100,ân,an5,an5,ㄢˊ,,an,an,ㄢ,,,,,,True,False
閒,ân,100,ân,an5,an5,ㄢˊ,,an,an,ㄢ,,,,,,True,False
肩,kuinn,55,kuiⁿ,kuinn1,kuinn1,ㄍㄨㆪ,,kuinn,kuinn,ㄍㄨㆪ,,,,,,True,False
間,kuinn,55,kuiⁿ,kuinn1,kuinn1,ㄍㄨㆪ,,kuinn,kuinn,ㄍㄨㆪ,,,,,,True,False
⺗,sim,50,sim,sim1,sim1,ㄒㄧㆬ,,sim,sim,ㄒㄧㆬ,,,,,,True,False
⺮,tik,50,tek,tik4,tek4,ㄉㄧㆻ,,tik,tek,ㄉㄧㆻ,,,,,,True,False
⺼,hi̍k,50,he̍k,hik8,hek8,ㄏㄧㆻ̇,,hik,hek,ㄏㄧㆻ,,,,,,True,False
⺼,jio̍k,50,jio̍k,jiok8,jiok8,ㆢㄧㆦㆻ̇,,jiok,jiok,ㆢㄧㆦㆻ,,,,,,True,False
⺼,lio̍k,50,lio̍k,liok8,liok8,ㄌㄧㆦㆻ̇,,liok,liok,ㄌㄧㆦㆻ,,,,,,True,False
⻍,thiok,50,thiok,thiok4,thiok4,ㄊㄧㆦㆻ,,thiok,thiok,ㄊㄧㆦㆻ,,,,,,True,False
⻍,tshiok,50,chhiok,tshiok4,chhiok4,ㄑㄧㆦㆻ,,tshiok,chhiok,ㄑㄧㆦㆻ,,,,,,True,False
⻏,ip,50,ip,ip4,ip4,ㄧㆴ,,ip,ip,ㄧㆴ,,,,,,True,False
じゃんけん,giāng,50,giāng,giang7,giang7,ㆣㄧㄤ˫,,giang,giang,ㆣㄧㄤ,,,,,,True,False
じゃん拳,giāng,50,giāng,giang7,giang7,ㆣㄧㄤ˫,,giang,giang,ㆣㄧㄤ,,,,,,True,False
パン,pháng,50,pháng,phang2,phang2,ㄆㄤˋ,,phang,phang,ㄆㄤ,,,,,,True,False
