hanzi,tl
hip相,hip-siòng
紅kì-kì,âng-kì-kì
無khah-tsua̍h,bô-khah-tsua̍h
ing暗,ing-àm
下hng暗,ē-hng-àm
ē得,ē-tit
ē得thang,ē-tit-thang
hiánn頭,hiánn-thâu
hip相,hip-siòng
hit當時,hit-tong-sî
椅liâu,í-liâu
iah是,iah-sī
iáu未,iáu-buē
陰thim,im-thim
íng過,íng-kuè
又koh,iū-koh
kah意,kah-ì
kám仔店,kám-á-tiàm
艱苦tsē-kuà,kan-khóo-tsē-kuà
齒thok,khí-thok
齒thok仔,khí-thok-á
khîng分,khîng-hun
khîng實,khîng-si̍t
看māi,khuànn-māi
king體,king-thé
kuân低,kuân-kē
瓜仔nî,kue-á-nî
niáu鼠,niáu-tshí
pān勢,pān-sè
芳kòng-kòng,phang-kòng-kòng
邊--a,pinn--a
pû仔,pû-á
不sám時,put-sám-sî
啥mih,siánn-mih
siàu念,siàu-liām
siàu想,siàu-siūnn
熟sāi,si̍k-sāi
sio借問,sio-tsioh-mn̄g
sù常,sù-siông
tak纏,tak-tînn
tang時,tang-sî
有tang時仔,ū-tang-sî-á
tàu跤手,tàu-kha-tshiú
tín動,tín-tāng
頭lê-lê,thâu lê-lê
thìng候,thìng-hāu
昨hng,tsa-hng
tsha̍k目,tsha̍k-ba̍k
tshiàng聲,tshiàng-siann
tshiàu談,tshiàu-tâm
親tsiânn,tshin-tsiânn
笑hai-hai,tshiò-hai-hai
tshím頭,tshím-thâu
喙phué,tshuì-phué
tsiânn做,tsiânn-tsò
tsih接,tsih-tsiap
tsíng頭仔,tsíng-thâu-á
tsíng著,tsíng-tio̍h
tso̍h--日,tso̍h--ji̍t
