漢字,異用字,羅馬字
一,蜀,tsi̍t/tsi̍k
一,壹,it
人,儂,lâng
上,尚,siōng/siāng
千,仟,tshing/tshuinn/tshainn/tshirinn
大人,大儂,tuā-lâng
大氣,大喟,tuā-khuì
仇,讎,siû
今,旦,tann
內,裡,lāi/lǎi
仙,銑,sián
代,事,tāi
凹,坳,nah
奶,乳,ling/ni/lin
扒,𢻷,pe
生,青,tshenn/tshinn
田,塍,tshân
田,堘,tshân
甲,𢓜,kah
甲,徦,kah
甲,到,kah
石榴,榭榴,sia̍h-liû/tsio̍h-liû
交,加,ka
共,給,kā/kāng
成人,成儂,tsiânn-lâng
佗,叼,tó/tá
佗,搭,tó/tá
佗,叼,toh/tah/to̍h
佗,搭,toh/tah
含,唅,kânn
吵,訬,tshá
妝,粧,tsng
汰,汏,thuā
沖,衝,tshiong
沙,砂,sua
灶,竈,tsàu
災,瘟,tse/tser
災,𣩈,tse/tser
牢,稠,tiâu
牢,椆,tiâu
牢,著,tiâu
佮,及,kah
佮,甲,kah
佮,合,kah
佮,合,kap
到,甲,kàu
姊,姐,tsé
姊,姐,tsí
怪人,怪儂,kuài-lâng
怪人,怪儂,kuài--lâng/kuè--lâng
拍,打,phah
拍,扑,phah
昏,暈,hūn
泏,注,tsuh
泏,𤁢,tsuat
泏,𤁢,tsuah
爸,父,pē/pě
的,个,ê/gê
祀,𫞼,tshāi
祀,在,tshāi
空,孔,khang
芟,刪,sing/sng/san/sainn/sang/sirinn/suinn
芡,焮,khiàn
芳,香,phang
咧,在,teh/leh/terh/lerh/lirh/eh/tih/lih
咧,塊,teh/leh/terh/lerh/lirh/eh/tih/lih
姦,幹,kàn
峇,密,bā
枷,椵,kê
柯,過,kua
柯,枯,kua
苛,科,khô
食,噍,tsia̍h
食,吃,tsia̍h
食補,噍補,tsia̍h-póo
食補,吃補,tsia̍h-póo
倚,偎,uá
埋,坮,tâi
泄,疶,tshuā
茫,濛,bâng
鬥,湊,tàu
做人,做儂,tsò-lâng/tsuè-lâng/tserè-lâng
做人,做儂,tsò--lâng/tsuè--lâng/tserè--lâng
啖,嘗,tam
掩,抰,ng/uinn
晝,罩,tàu
欲,要,beh/bueh/berh/boh
欲,卜,beh/bueh/berh/boh
液,𫟊,sio̍h
淋,湳,lâm
脫,突,thu̍t
莫,勿,mài
逐,迮,jiok/lip/jip/jik/tsip/giok/liok
這,今,tse
這,即,tse
這,今,tsit/tsik
這,即,tsit/tsik
勞力,擼力,lóo-la̍t
勞力,努力,lóo-la̍t
寒,凝,gân
循,順,sūn
湧,泳,íng
焦,乾,ta
焦,凋,ta
焦,礁,ta
番,蕃,huan/han
痟,𤞚,siáu
粧,妝,tsng
舒,敷,tshu/tshir
萎,虧,ui
著,𤏸,to̍h
裂,撕,liah
閒,閑,îng/uînn/âinn/irînn
嗚,嗡,onn
塗,土,thôo
媽,嬤,má
搜,抄,tshiau
斟,漛,thîn
滇,淀,tīnn/tǐnn
當時,東時,tang-sî
筧,梘,kíng/káinn
較,校,kah
較,卡,khah
遐,許,hiah
遐,赫,hiah
鼎,鐤,tiánn
厭,饜,ià
孵,伏,pū
孵,菢,pū
摻,攙,tsham
熔,鎔,iûnn/iônn
噗,烞,pok
噗,泡,phok
數,賬,siàu
瘦,㾪,sán
盤,蹣,puânn
稻,粙,tiū/tiǔ
箠,棰,tshuê/tshê
踢,躂,that
輪,碾,lián
輪,輾,lián
輪,輦,lián
遮,這,tsia/tsiâ/tsiô
遮,即,tsiah
閬,曠,làng
霆,陳,tân
駐,住,tū
擔,担,tànn
橐,簏,lok
濁,醪,lô
燃,烆,hiânn
親情,親成,tshin-tsiânn
翼,翅,si̍t
黜,托,thuh
黜,拓,thuh
蟲,虫,thâng
軁,鑽,nǹg/nuì
轉,返,tńg/tuínn
羹,焿,kenn/kinn
懸,峘,kuân/kuînn/kuâinn/kirînn
懸,高,kuân/kuînn/kuâinn/kirînn
瀾,涎,nuā
疊,沓,tha̍h
鱉,鼈,pih
驚人,驚儂,kiann-lâng
驚人,驚儂,kiann--lâng
腥,青,tshènn/tshìnn/tshenn/tshinn
司,師,sai
岩,巖,gâm
芟,刪,sing/sng/san/sainn/sang/sirinn/suinn
枷,椵,kê
庭,埕,tiânn
浡,浮,phu̍h
參,蔘,sim/som/serm/song
連,蓮,nî
番,蕃,huan/han
碇,矴,tīng
腥,青,tshènn/tshìnn/tshenn/tshinn
遍,片,phiàn
寬,緩,khuann
撫,拊,hú
頸,䫀,kún
欸,呃,--eh
欸,吓,--eh
二步七仔,二步拭仔,--jī-pōo-tshit-á/--lī-pōo-tshit-á
二步七仔,兩步拭仔,--jī-pōo-tshit-á/--lī-pōo-tshit-á
阿里不達,阿理不達,a-lí-put-ta̍t
阿媽,俺媽,a-má
阿媽,阿嬤,a-má
阿媽,俺嬤,a-má
阿舍囝,阿舍子,a-sià-kiánn
腌臢,阿渣,a-tsa
阿姊,阿姐,a-tsí
曷,抑,a̍h
鴨仔囝,鴨仔子,ah-á-kiánn
壓味,押味,ah-bī
鴨咪仔,鴨微仔,ah-bî-á
鴨母喙,鴨母嘴,ah-bó-tshuì
鴨鵤,鴨角,ah-kak
鴨鵤,鴨公,ah-kak
壓霸,惡霸,ah-pà
鴨鯗,鴨賞,ah-siúnn
愛媠,愛美,ài-suí
沃,渥,ak
沃澹,沃霑,ak-tâm
罨,掩,am
掩崁,掩蓋,am-khàm
涵空,涵孔,âm-khang
涵空龜,涵孔龜,âm-khang-ku
頷頸,頷䫀,ām-kún
頷頸珠,頷䫀珠,ām-kún-tsu
暗暝,暗冥,àm-mê/àm-mî
暗殕,暗䀟,àm-phú
暗殕,暗醭,àm-phú
絚,拫,ân
安份,安分,an-hūn
限數,限賬,ān-siàu
按怎,安怎,án-tsuánn
按怎樣,安怎樣,án-tsuánn-iūnn
尪仔,翁仔,ang-á
尪架桌,紅架桌,ang-kè-toh
紅膏赤蠘,紅膏赤脂,âng-ko-tshiah-tshi̍h
紅龜粿,紅龜餜,âng-ku-kué/âng-ku-ké
紅毛塗,紅毛土,âng-mn̂g-thôo
翁婿,尪婿,ang-sài
紅塗,紅土,âng-thôo
攔孤爿,掗孤爿,ânn-koo-pîng
遏,折,at
遏泔,閼泔,at-ám
遏手把,遏手霸,at-tshiú-pà
遏手把,折手把,at-tshiú-pà
遏手把,折手霸,at-tshiú-pà
後跤,後骹,āu-kha
後跤,後腳,āu-kha
後擴,後売,āu-khok
後鈕,後紐,āu-liú
拗裒,拗紨,áu-pôo
後世人,後世儂,āu-sì-lâng
後岫,後受,āu-siū
後岫,後巢,āu-siū
後頭厝,後頭茨,āu-thâu-tshù
喉滇,喉淀,âu-tīnn
後坐,後座,āu-tsē
懊嘟面,懊盹面,àu-tū-bīn
懊嘟面,懊揬面,àu-tū-bīn
拗鬱,拗熨,áu-ut
媌仔,貓仔,bâ-á
峇微,麻微,bâ-bui
鴟鴞,覓鷂,bā-hio̍h
鴟鴞,覓鴞,bā-hio̍h
麻藥,痲藥,bâ-io̍h
貓兒竹,麻兒竹,bâ-jî-tik/bâ-lî-tik
貓兒竹,貓猊竹,bâ-jî-tik/bâ-lî-tik
麻痺,痲痺,bâ-pì
麻醉,痲醉,bâ-tsuì
肉羹,肉焿,bah-kenn/bah-kinn
肉跤仔,肉骹仔,bah-kha-á
肉跤仔,肉腳仔,bah-kha-á
肉乾,肉干,bah-kuann
肉圓,肉丸,bah-uân
䆀才,鄙才,bái-tsâi
䆀才,僫材,bái-tsâi
䆀才,孬材,bái-tsâi
䆀手,僫手,bái-tshiú
目空,目孔,ba̍k-khang
目空赤,目孔赤,ba̍k-khang-tshiah
目睭,目珠,ba̍k-tsiu
目睭仁,目珠仁,ba̍k-tsiu-jîn/ba̍k-tsiu-lîn
目睭皮,目珠皮,ba̍k-tsiu-phuê/ba̍k-tsiu-phê
挽喙齒,挽嘴齒,bán tshuì-khí
屘囝,屘子,ban-kiánn
蠻皮,慢皮,bân-phuê/bân-phê
蠓,蚊,báng
蠓仔,蚊仔,báng-á
蠓仔香,蚊仔香,báng-á-hiunn
蠓仔水,蚊仔水,báng-á-tsuí
蠓捽仔,蚊捽仔,báng-sut-á
蠓捽仔,蠓摔仔,báng-sut-á
蠓捽仔,蚊摔仔,báng-sut-á
蠓罩,蚊罩,báng-tà
蠓蟲,蚊蟲,báng-thâng
蠓蟲,蠓虫,báng-thâng
蠓蟲,蚊虫,báng-thâng
捌字,識字,bat-jī/bat-lī
㴘,泡,bāu
貿工,𢯾工,bāu-kang
袂按算,𣍐按算,bē àn-sǹg/buē àn-sǹg
袂合,𣍐合,bē ha̍h/buē ha̍h
袂曉衰,𣍐曉衰,bē-hiáu-sue/buē-hiáu-sue
袂和,𣍐和,bē-hô/buē-hô
袂赴市,𣍐赴市,bē-hù-tshī/buē-hù-tshī
袂赴,𣍐赴,bē-hù/buē-hù
袂用得,𣍐用得,bē-īng-tit/buē-īng-tit
袂堪得,𣍐堪得,bē-kham-tit/buē-kham-tit
袂磕得,𣍐磕得,bē-kha̍p--tit/buē-kha̍p--tit
袂記得,𣍐記得,bē-kì-tit/buē-kì-tit
袂見笑,𣍐見笑,bē-kiàn-siàu/buē-kiàn-siàu
袂講得,𣍐講得,bē-kóng-tit/buē-kóng-tit
袂使得,𣍐使得,bē-sái-tit/buē-sái-tit
袂使,𣍐使,bē-sái/buē-sái
袂收山,𣍐收山,bē-siu-suann/buē-siu-suann
袂輸講,𣍐輸講,bē-su-kóng/buē-su-kóng
袂輸,𣍐輸,bē-su/buē-su
袂當,袂凍,bē-tàng/buē-tàng
袂得過,𣍐得過,bē-tit kuè/buē-tit kè
袂直,𣍐直,bē-ti̍t/buē-ti̍t
袂食袂睏,𣍐食𣍐睏,bē-tsia̍h-bē-khùn/buē-tsia̍h-buē-khùn
袂食袂睏,袂噍𣍐睏,bē-tsia̍h-bē-khùn/buē-tsia̍h-buē-khùn
袂食袂睏,袂吃袂睏,bē-tsia̍h-bē-khùn/buē-tsia̍h-buē-khùn
袂,𣍐,bē/buē
欲暗仔,要暗仔,beh-àm-á/bueh-àm-á
欲哭欲𥍉,要哭要𥍉,beh-khàu-beh-nih/bueh-khàu-bueh-nih
欲哭欲𥍉,卜哭卜𥍉,beh-khàu-beh-nih/bueh-khàu-bueh-nih
欲呢,要呢,beh-nî/bueh-nî
欲死欲活,要死要活,beh-sí-beh-ua̍h/bueh-sí-bueh-ua̍h
欲知,要知,beh-tsai/bueh-tsai
眯,瞇,bî
美國塗豆,美國土豆,Bí-kok-thôo-tāu
米粩,米荖,bí-láu
米粩,米佬,bí-láu
米奶,米乳,bí-ling/bí-ni
米芳,米香,bí-phang
米潘,米䊩,bí-phun
米蟲,米虫,bí-thâng
米攕,米扦,bí-tshiám
免數想,免賬想,bián siàu-siūnn
覕,匿,bih
覕,宓,bih
覕雨,匿雨,bih-hōo
覕相揣,覕相找,bih-sio-tshuē/bih-sio-tshē
覕相揣,匿相揣,bih-sio-tshuē/bih-sio-tshē
覕相揣,匿相找,bih-sio-tshuē/bih-sio-tshē
篾蓆,篾𥱊,bi̍h-tshio̍h
覕喙,匿嘴,bih-tshuì
覕喙,匿喙,bih-tshuì
