hanzi	tl
	ì
 青慘	tshenn-tshám
110	it-it-khòng
119	it-it-kiú
165	it-lio̍k-ngóo
A型流感	a-hîng-liû-kám
A型肝炎	a-hîng-kuann-iām
a小調	a-sió-tiāu
hip相	hip-siòng
hit當時	hit-tong-sî
hiánn頭	hiánn-thâu
iah是	iah-sī
ing暗	ing-àm
iáu未	iáu-buē
kah意	kah-ì
khîng分	khîng-hun
khîng實	khîng-si̍t
king體	king-thé
kuân低	kuân-kē
kám仔店	kám-á-tiàm
niáu鼠	niáu-tshí
pû仔	pû-á
pān勢	pān-sè
sio借問	sio-tsioh-mn̄g
siàu念	siàu-liām
siàu想	siàu-siūnn
sù常	sù-siông
tak纏	tak-tînn
tang時	tang-sî
thìng候	thìng-hāu
tsha̍k目	tsha̍k-ba̍k
tshiàng聲	tshiàng-siann
tshiàu談	tshiàu-tâm
tshím頭	tshím-thâu
tsih接	tsih-tsiap
tsiânn做	tsiânn-tsò
tso̍h--日	tso̍h--ji̍t
tsíng著	tsíng-tio̍h
tsíng頭仔	tsíng-thâu-á
tàu跤手	tàu-kha-tshiú
tín動	tín-tāng
ê早	ê-tsái
ê昏	ê-hng
ê昏時	ê-hng-sî
ê昏頓	ê-hng-tǹg
ê晝	ê-tàu
ê晡	ê-poo
ê暗	ê-àm
ê話	ê-uē
íng過	íng-kuè
ē得	ē-tit
ē得thang	ē-tit-thang
○	hannh
⺗	sim
⺮	tik
⺼	hi̍k
⺼	jio̍k
⺼	lio̍k
⻍	thiok
⻍	tshiok
⻏	ip
あいさつ	a̋i-sat-tsuh
あげ	á-geh
あにき	a-ní-khih
あんない	àn-nāi
うどん	u-lóng
うんちゃん	ùn-tsiàng
おうえん	őo-ián
おじさん	oo-jí-sáng
おでん	oo-lián
おにんぎょう	oo-lín-gióo
おねえさん	oo-nè-sàng
おばさん	oo-bá-sáng
お人形	oo-lín-gióo
お姉さん	oo-nè-sàng
お田	oo-lián
かあさん	khà-sàng
かあちゃん	khà-tsiàng
かな	khá-nah
かばん	kha-báng
かんじょう	kha̋n-jióo
かんそう	kha̋n-sóo
かんばん	kha̋ng-páng
がら	gá-lah
きって	khit-teh
きもち	khi-móo-tsih
きゃはん	khiā-hang
きゅうけい	khiű-khé
こんぶ	khòng-buh
ごぼう	gōo-bōo
さかりば	sa-khá-lí-bah
さくら	sa-khú-lah
さしみ	sa-sí-mih
さんそ	sàng-sòo
さんま	sàn-bah
しあげ	si-á-geh
