hanzi,tl
一【替】,tsi̍t
一,it
一刀兩斷,it-to-lióng-tuān
一下,tsi̍t-ē
一月日,tsi̍t gue̍h-ji̍t/tsi̍t ge̍h-li̍t
一日到暗,tsi̍t-ji̍t-kàu-àm/tsi̍t-li̍t-kàu-àm
一世人,tsi̍t-sì-lâng
一半,tsi̍t-puànn
一半个仔,tsi̍t-puànn-ê-á
一半日仔,tsi̍t-puànn-ji̍t-á/tsi̍t-puànn-li̍t-á
一四界,tsi̍t-sì-kè/tsi̍t-sì-kuè
一旦,it-tàn
一生,it-sing
一目𥍉仔,tsi̍t-ba̍k-nih-á
一甲子,tsi̍t kah-tsí
一百空一,tsi̍t-pah khòng-it
一來,it--lâi
一定,it-tīng
一直,it-ti̍t
一律,it-lu̍t
一致,it-tì
一面,tsi̍t-bīn
一垺屎,tsi̍t-pû-sái
一屑仔,tsi̍t-sut-á
一家伙仔,tsi̍t-ke-hué-á/tsi̍t-ke-hé-á
一般,it-puann
一粒一,it-lia̍p-it
一睏仔,tsi̍t-khùn-á
一概,it-khài
一路,tsi̍t-lōo
一寡,--tsi̍t-kuá
一寡仔,tsi̍t-kuá-á
一對時,tsi̍t tuì-sî
一霎仔久,tsi̍t-tiap-á-kú
一點仔,tsi̍t-tiám-á
一礐屎,tsi̍t-ha̍k-sái
一觸久仔,tsi̍t-tak-kú-á
乙,it
丁,ting
七,tshit
九,【白】káu
九,【文】kiú
了,liáu
二,jī/lī
人,jîn/lîn
人【替】,lâng
入,ji̍p/li̍p
八,【文】pat
八,【白】peh/pueh
刀,to
刁,tiau
力,【白】la̍t
力,【文】li̍k
十,【白】tsa̍p
十,【文】si̍p
卜【替】,poh
卜,pok
又,iū
十一哥,tsa̍p-it-ko
了了,liáu-liáu
了了,--liáu-liáu
人人,lâng-lâng
十二分,tsa̍p-jī-hun/tsa̍p-lī-hun
十二生相,tsa̍p-jī senn-siùnn/tsa̍p-lī sinn-siùnn
十二指腸,si̍p-jī-tsí-tn̂g/si̍p-lī-tsí-tn̂g
二九暝,Jī-káu-mê/Lī-káu-mî
