tl,hanzi
kiú-ióng,久仰
kong-ú,公寓
uî-kip,危急
ìn-sióng,印象
uî-ki,危機
uî-hiám,危險
tsái-tǹg,早頓
tsoh-piah,作弊
kham-kham-khia̍t-khia̍t,坎坎坷坷
sua-bôo,沙漠
phuè-ho̍k,佩服
phō-khiam,抱歉
sìn-ióng,信仰
im-iân,姻緣
hue-ho̍k,恢復
hiō-sû,後嗣
sū-hui,是非
kun-kàm,軍艦
tsìng-khī,浸柿
hún-tshiân,粉腸
tô-phiah,逃避
siám-phiah,閃避
siok-bo̍k,寂寞
tshái-káng,採購
tsiap-sio̍k,接觸
û-su-kûn,圍軀裙
tsióng-ap,掌握
ti̍t-bu̍t,植物
tsi̍t-bu̍t,植物
thn̂g-hiō-sû,傳後嗣
thôo-kak,塗墼
thôo-kak-tshù,塗墼厝
sin-sián,新鮮
huē-kè,會計
ian-tshiân,煙腸
bū,遇
khím-sik,寢室
tuì-siòng,對象
sik-sū,碩士
uì-lô,慰勞
puê-sióng,賠償
pê-sióng,賠償
ki-hâi,機械
hí-lāng,戲弄
phiah,避
phiah-bián,避免
pho̍k-á,簿仔
lo̍k-iânn,露營
sià-sí-sià-tsìng,卸世卸眾
tsíng-kô,整個
póo-sióng,補償
tsiàn-kàm,戰艦
kìng-phuè,敬佩
kàm-tuī,艦隊
phiah-lān,避難
huê-phiah,迴避
