tl,hanzi
kiú,九
káu,九
pat,八
peh,八
pueh,八
li̍k,力
la̍t,力
si̍p,十
tsa̍p,十
sam,三
sann,三
siōng,上
siāng,上
tsiūnn,上
tsiōnn,上
hā,下
ē,下
tshian,千
tshing,千
û,于
î,于
u,于
i,于
tāi,大
tuā,大
lú,女
lí,女
tsú,子
tsí,子
sió,小
siáu,小
san,山
suann,山
kong,工
kang,工
kí,己
tiong,中
tiòng,中
tìng,中
ngóo,五
gōo,五
luē,內
lāi,內
kong,公
kang,公
lio̍k,六
la̍k,六
hun,分
pun,分
sing,升
tsin,升
ngóo,午
gōo,午
huán,反
píng,反
páinn,反
puínn,反
thian,天
thinn,天
hong,方
hng,方
gua̍t,月
gue̍h,月
ge̍h,月
bo̍k,木
ba̍k,木
môo,毛
mn̂g,毛
tsuí,水
suí,水
gâ,牙
gê,牙
sè,世
sì,世
tāi,代
tē,代
kong,功
kang,功
ka,加
ke,加
puàn,半
puànn,半
khó,可
khónn,可
khuá,可
sù,四
sì,四
iong,央
iang,央
ng,央
pîng,平
pênn,平
pînn,平
bī,未
buē,未
bē,未
pún,本
pńg,本
tsìng,正
tsiànn,正
bió,母
bóo,母
bú,母
bó,母
gio̍k,玉
gi̍k,玉
sing,生
tshenn,生
tshinn,生
senn,生
sinn,生
iōng,用
īng,用
pi̍k,白
pe̍h,白
phî,皮
phuê,皮
phê,皮
bo̍k,目
ba̍k,目
tsio̍h,石
si̍k,石
sian,先
sing,先
kong,光
kng,光
kuinn,光
tsuân,全
tsn̂g,全
tsuînn,全
kiōng,共
kāng,共
ha̍p,合
ha̍h,合
tông,同
tâng,同
bîng,名
miâ,名
hiòng,向
hiàng,向
ǹg,向
tē,地
tuē,地
hó,好
hónn,好
hònn,好
siú,守
tsiú,守
an,安
uann,安
huân,帆
phâng,帆
nî,年
liân,年
sîng,成
tsiânn,成
siânn,成
iú,有
ū,有
sú,死
sí,死
nóo,老
ló,老
lóo,老
láu,老
lāu,老
ní,耳
hīnn,耳
hī,耳
jio̍k,肉
lio̍k,肉
gio̍k,肉
hi̍k,肉
ngāi,艾
gāi,艾
hiānn,艾
hiat,血
hueh,血
huih,血
i,衣
ui,衣
se,西
sai,西
tshuàn,串
tshǹg,串
tshuìnn,串
sin,伸
tshun,伸
hô,何
hôo,何
uâ,何
hu̍t,佛
pu̍t,佛
tsok,作
tsoh,作
tuē,兌
tuī,兌
pia̍t,別
pa̍t,別
piat,別
lī,利
lāi,利
hàu,孝
hà,孝
sū,序
sī,序
tī,弟
tē,弟
jím,忍
lím,忍
gím,忍
lún,忍
ngóo,我
guá,我
liú,扭
ngiú,扭
niú,扭
láu,扭
hû,扶
phôo,扶
tsiat,折
tsi̍h,折
hān,旱
huānn,旱
uānn,旱
tîm,沉
tiâm,沉
su,私
sai,私
si,私
kan,肝
kuann,肝
kiàn,見
kìnn,見
pīng,並
phīng,並
sū,事
tāi,事
kap,佮
kah,佮
sú,使
sù,使
