tl,hanzi
siān-neh,𤺪呢
sú-sū,死侍
siá-khóo,寫許
hia̍p-koh,拹閣
kip-sò,急躁
pó-tshinn-mo̍oh,保鮮膜
tshu-kiā,趨崎
tē-tāng-bué,地動尾
guá-bē-hiáu,我袂曉
phuì-that-á,屁窒仔
oo-pe̍h-tshì,烏白試
tuā-lia̍p-nn̄g,大粒卵
tshenn-hue,青花
tshinn-hue,青花
phō-khì-bong,抱去摸
tshuì,喙
uī-tso-tso,胃慒慒
sin-senn-á,新生仔
nn̄g-thah,卵塔
khàu-iau,哭枵
ak-tsak,齷齪
tâi-gí,台語
tâi-gú,台語
bân-lâm-gí,閩南語
bân-lâm-gú,閩南語
lāu-thuē,老傫
pēnn-kiánn,病囝
pīnn-kiánn,病囝
kha-thâu-u,跤頭趺
tsù-siā,注射
tsia̍h-pn̄g,食飯
āu-piah-ê,後壁的
tshuì-khí-thiànn,喙齒疼
iâm-lô-tshenn,閻羅星
iâm-lô-tshinn,閻羅星
má-tsóo-tshenn,媽祖星
má-tsóo-tshinn,媽祖星
thinn-kong-tshenn,天公星
thinn-kong-tshinn,天公星
thâu-tsîng,頭前
āu-bīn,後面
phi̍h-phi̍h-tshuah,咇咇掣
siān-tauh-tauh,𤺪篤篤
tsúi-sòo,水素
tinn-sòo,甜素
khóo-sòo,苦素
lí-hó,你好
iâm-sòo,鹽素
tshàu-sòo,臭素
phah-tshia-phiò,拍車票
han-tsî-hio̍h,番薯葉
mî-nuā,綿爛
tshiah-ia̍h,刺疫
kuè-kau-tshài,過溝菜
kè-kau-tshài,過溝菜
oo-tshinn,烏青
oo-tshenn,烏青
tshuah-sái,疶屎
iu-iû-khah,悠遊卡
tu̍h-lān,揬𡳞
pháng-kauh,麭𩛩
giâ-nn̄g,鵝卵
gô-nn̄g,鵝卵
tâi-uân,臺灣
kàn-lín-niâ,姦恁娘
tánn-kiap,打劫
se-tsng,梳妝
sue-tsng,梳妝
lí-kóng--leh,你講咧
sàng-sòo,酸素
ē-poo-tê,下晡茶
e-poo-tê,下晡茶
kha-tshiú-tsiān,跤手賤
kuah-tshia-tuann,割車單
kue-á-tshiu,瓜仔鬚
kái-pinn,骱邊
tio̍h--bô,著無
sé-bīn-tsō,洗面皂
sué-bīn-tsō,洗面皂
sé-bīn--ê,洗面的
sué-bīn--ê,洗面的
han-tsû-hio̍h,番薯葉
ti-tshài,豬菜
hué-sio-sim,火燒心
gîng-hueh,凝血
gîng-huih,凝血
ba̍k-tshái,目彩
bàng-gah,漫畫
bàng-kah,漫畫
bīn-tsu,面書
bīn-tsir,面書
tsian-tsuí-kiáu,煎水餃
té-kûn,短裙
thài-pîng-tóo,太平島
liông-kut-tshué,龍骨髓
liông-kut-tshé,龍骨髓
án-tsuánn-kóng,按怎講
tōo-tsiam,度針
thâu-khak,頭殼
bān-tshiánn-sī,慢且是
bān-tshiánn-ī,慢且是
kâu-gín-á,猴囡仔
lù-khah,鑢卡
tshit-hō-á,七號仔
au-bú,後母
sāi-thái,撒體
tiàu-khòo,吊褲
tiān-sī-tâi,電視台
pó-kè-bōng,寶價望
tsuí-ah-tshia,水鴨車
án-ná-kóng,按怎講
liông-kut,龍骨
tshit--á,七仔
tshè-siong,摖傷
tshòng-siánn,創啥
kâu-thâu-kó,猴頭果
sńg-tsuí,耍水
sîn-king-thiànn,神經疼
oo-sái,烏屎
lí-lōo,理路
tông-sìng-luân,同性戀
lâu-uē,留話
bīn-tsheh,面冊
lah-sap-uē,垃圾話
hah-hân,哈韓
hah-ji̍t,哈日
khóng-bîng-ting,孔明燈
suí-tang-tang,媠噹噹
a-bîng,阿明
kāng-sìng-luân,仝性戀
phî-khá-tsiù,皮巧啾
khiang-á,勍仔
ka-lo̍k-hok,家樂福
po̍k-kiat-bōng,爆吉夢
phín-hīng,品行
tsìnn-khian-á,糋圈仔
suí-koo-niû,媠姑娘
ke-tsing-á,雞鐘仔
kue-tsing-á,雞鐘仔
bah-bâ,肉麻
thôo-pi-á,塗觱仔
thôo-pi-pu,塗觱哹
iáu-siū-kuí,夭壽鬼
tshài-thâu-kué,菜頭粿
tshài-thâu-ké,菜頭粿
huan-huan,番番
bū-sà-sà,霧嗄嗄
sian-jîn-tsióng,仙人掌
sian-lîn-tsióng,仙人掌
sian-pa-tsióng,仙巴掌
sian-jîn-tsháu,仙人草
sian-lîn-tsháu,仙人草
tshì-kiû,刺球
kài-hué-tsháu,戒火草
kài-hé-,戒火草
tâi-gí,臺語
tâi-gú,臺語
sòo-thiāu-á,溯柱仔
pàng-sán-khuì,放瘦氣
khiàm-tsi̍t-kha,欠一跤
jiâu-sûn,皺巡
liâu-sûn,皺巡
phoo,鋪
phōo-khì-mooh,抱去𢯾
phīnn-khang-tsiūnn,鼻空癢
sió-hué-liông,小火龍
tsin-giám-siâu,真儼潲
ba̋ng-sóo-khóo,ba̋ng-sóo-khóo
iân-tâu,緣投
bah-phìnn-á,肉片仔
kik-bīn-tshiunn,激面腔
kî-lîn-lo̍k,麒麟鹿
sūn-sī,順序
hué-khióng-liông,火恐龍
phùn-hué-liông,噴火龍
khah-mi-ku,卡咪龜
tsuí-tsìnn-ku,水箭龜
thih-kah-tāu,鐵甲豆
to̍k-kak-thâng,獨角蟲
thih-khak-tāu,鐵殼豆
