tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
tio̍h,著,46783,tio̍h,tioh8,tioh8,tioh,tioh
m̄,毋,39475,m̄,m7,m7,m,m
koh,閣,29890,koh,koh,koh,koh,koh
lí,你,27089,lí,li2,li2,li,li
hōo,予,24836,hō͘,hoo7,hoo7,hoo,hoo
hó,好,23707,hó,ho2,ho2,ho,ho
tsiū,就,21083,chiū,tsiu7,chiu7,tsiu,chiu
teh,咧,17229,teh,teh,teh,teh,teh
lāi,內,14406,lāi,lai7,lai7,lai,lai
ji̍t,日,14244,ji̍t,jit8,jit8,jit,jit
tsāi,在,14062,chāi,tsai7,chai7,tsai,chai
kang,工,12379,kang,kang,kang,kang,kang
lāu,老,11954,lāu,lau7,lau7,lau,lau
bē,袂,11866,bē,be7,be7,be,be
lí,理,11858,lí,li2,li2,li,li
láng,攏,11219,láng,lang2,lang2,lang,lang
thiann,聽,10741,thiaⁿ,thiann,thiann,thiann,thiann
tshuì,喙,9364,chhùi,tshui3,chhui3,tshui,chhui
hong,風,9297,hong,hong,hong,hong,hong
iánn,影,9036,iáⁿ,iann2,iann2,iann,iann
leh,咧,8857,leh,leh,leh,leh,leh
kah,甲,8530,kah,kah,kah,kah,kah
hái,海,8273,hái,hai2,hai2,hai,hai
hiān,現,6999,hiān,hian7,hian7,hian,hian
àm,暗,6574,àm,am3,am3,am,am
thong,通,6564,thong,thong,thong,thong,thong
miâ,名,6546,miâ,mia5,mia5,mia,mia
tshing,清,6424,chheng,tshing,chheng,tshing,chheng
í,已,5841,í,i2,i2,i,i
khai,開,5693,khai,khai,khai,khai,khai
suah,煞,4845,soah,suah,soah,suah,soah
tsí,子,4660,chí,tsi2,chi2,tsi,chi
tik,竹,4383,tek,tik,tek,tik,tek
sái,屎,4331,sái,sai2,sai2,sai,sai
tshân,田,4120,chhân,tshan5,chhan5,tshan,chhan
khuân,權,3973,khoân,khuan5,khoan5,khuan,khoan
hūn,份,3815,hūn,hun7,hun7,hun,hun
pn̄g,飯,3685,pn̄g,png7,png7,png,png
kut,骨,3660,kut,kut,kut,kut,kut
kak,角,3575,kak,kak,kak,kak,kak
sai,師,3410,sai,sai,sai,sai,sai
ti̍k,特,3397,te̍k,tik8,tek8,tik,tek
thôo,塗,3339,thô͘,thoo5,thoo5,thoo,thoo
tìn,鎮,2950,tìn,tin3,tin3,tin,tin
làu,落,2916,làu,lau3,lau3,lau,lau
sû,詞,2871,sû,su5,su5,su,su
tó,倒,2836,tó,to2,to2,to,to
uá,倚,2834,óa,ua2,oa2,ua,oa
pîng,爿,2834,pêng,ping5,peng5,ping,peng
tshuā,𤆬,2833,chhōa,tshua7,chhoa7,tshua,chhoa
suí,媠,2774,súi,sui2,sui2,sui,sui
kíng,景,2750,kéng,king2,keng2,king,keng
tâu,投,2494,tâu,tau5,tau5,tau,tau
gâu,𠢕,2377,gâu,gau5,gau5,gau,gau
piah,壁,2374,piah,piah,piah,piah,piah
tsiáu,鳥,2362,chiáu,tsiau2,chiau2,tsiau,chiau
kenn,經,2304,keⁿ,kenn,kenn,kenn,kenn
tān,但,2284,tān,tan7,tan7,tan,tan
kóo,鼓,2258,kó͘,koo2,koo2,koo,koo
ìn,印,2149,ìn,in3,in3,in,in
tsu,珠,2117,chu,tsu,chu,tsu,chu
a,亞,2083,a,a,a,a,a
nńg,軟,1998,nńg,nng2,nng2,nng,nng
tàu,鬥,1921,tàu,tau3,tau3,tau,tau
tshuē,揣,1852,chhōe,tshue7,chhoe7,tshue,chhoe
tsíng,整,1822,chéng,tsing2,cheng2,tsing,cheng
tóo,肚,1802,tó͘,too2,too2,too,too
iù,幼,1785,iù,iu3,iu3,iu,iu
phài,派,1780,phài,phai3,phai3,phai,phai
ta̍h,踏,1736,ta̍h,tah8,tah8,tah,tah
kán,簡,1691,kán,kan2,kan2,kan,kan
tsia,遮,1669,chia,tsia,chia,tsia,chia
si̍k,熟,1569,se̍k,sik8,sek8,sik,sek
tshî,持,1563,chhî,tshi5,chhi5,tshi,chhi
hián,顯,1494,hián,hian2,hian2,hian,hian
bê,迷,1479,bê,be5,be5,be,be
pâi,牌,1400,pâi,pai5,pai5,pai,pai
kiám,減,1370,kiám,kiam2,kiam2,kiam,kiam
siū,壽,1350,siū,siu7,siu7,siu,siu
tuè,綴,1323,tòe,tue3,toe3,tue,toe
tè,綴,1323,tè,te3,te3,te,te
kuà,掛,1299,kòa,kua3,koa3,kua,koa
phiàn,騙,1265,phiàn,phian3,phian3,phian,phian
kau,溝,1206,kau,kau,kau,kau,kau
kāu,厚,1200,kāu,kau7,kau7,kau,kau
kiâm,鹹,1200,kiâm,kiam5,kiam5,kiam,kiam
pìnn,變,1154,pìⁿ,pinn3,pinn3,pinn,pinn
gōng,戇,1150,gōng,gong7,gong7,gong,gong
tsio,招,1116,chio,tsio,chio,tsio,chio
khǹg,囥,1062,khǹg,khng3,khng3,khng,khng
thiam,添,967,thiam,thiam,thiam,thiam,thiam
tshē,坐,939,chhē,tshe7,chhe7,tshe,chhe
siáu,痟,850,siáu,siau2,siau2,siau,siau
tàu,到,825,tàu,tau3,tau3,tau,tau
io̍k,欲,814,io̍k,iok8,iok8,iok,iok
tsū,聚,804,chū,tsu7,chu7,tsu,chu
sńg,耍,779,sńg,sng2,sng2,sng,sng
lak,落,767,lak,lak,lak,lak,lak
jî,而,757,jî,ji5,ji5,ji,ji
lî,而,757,lî,li5,li5,li,li
ping,冰,750,peng,ping,peng,ping,peng
bū,霧,750,bū,bu7,bu7,bu,bu
gíng,研,729,géng,ging2,geng2,ging,geng
mài,莫,688,mài,mai3,mai3,mai,mai
bōng,墓,650,bōng,bong7,bong7,bong,bong
tshap,插,650,chhap,tshap,chhap,tshap,chhap
gán,眼,650,gán,gan2,gan2,gan,gan
pōng,磅,650,pōng,pong7,pong7,pong,pong
muê,糜,650,môe,mue5,moe5,mue,moe
tshó,草,622,chhó,tsho2,chho2,tsho,chho
bán,挽,600,bán,ban2,ban2,ban,ban
tshau,操,600,chhau,tshau,chhau,tshau,chhau
phoo,鋪,600,pho͘,phoo,phoo,phoo,phoo
hia̍h,額,587,hia̍h,hiah8,hiah8,hiah,hiah
ûn,勻,550,ûn,un5,un5,un,un
pho,波,550,pho,pho,pho,pho,pho
tak,觸,550,tak,tak,tak,tak,tak
lāi,利,544,lāi,lai7,lai7,lai,lai
kà,較,539,kà,ka3,ka3,ka,ka
âu,喉,500,âu,au5,au5,au,au
sûn,巡,500,sûn,sun5,sun5,sun,sun
tshia,捙,500,chhia,tshia,chhia,tshia,chhia
sô,趖,500,sô,so5,so5,so,so
uân,園,460,oân,uan5,oan5,uan,oan
khiām,儉,450,khiām,khiam7,khiam7,khiam,khiam
lāng,弄,450,lāng,lang7,lang7,lang,lang
khàu,扣,450,khàu,khau3,khau3,khau,khau
thuî,槌,450,thûi,thui5,thui5,thui,thui
tî,池,450,tî,ti5,ti5,ti,ti
hôo,胡,450,hô͘,hoo5,hoo5,hoo,hoo
thǹg,褪,450,thǹg,thng3,thng3,thng,thng
king,弓,400,keng,king,keng,king,keng
puann,搬,400,poaⁿ,puann,poann,puann,poann
ò,澳,400,ò,o3,o3,o,o
kông,狂,400,kông,kong5,kong5,kong,kong
phoh,粕,400,phoh,phoh,phoh,phoh,phoh
thinn,添,362,thiⁿ,thinn,thinn,thinn,thinn
siunn,相,357,siuⁿ,siunn,siunn,siunn,siunn
liông,量,356,liông,liong5,liong5,liong,liong
gî,宜,350,gî,gi5,gi5,gi,gi
áu,拗,350,áu,au2,au2,au,au
sńg,損,350,sńg,sng2,sng2,sng,sng
suāinn,檨,350,soāiⁿ,suainn7,soainn7,suainn,soainn
sip,溼,350,sip,sip,sip,sip,sip
suī,瑞,350,sūi,sui7,sui7,sui,sui
liâu,療,350,liâu,liau5,liau5,liau,liau
la̍p,納,350,la̍p,lap8,lap8,lap,lap
koo,菇,350,ko͘,koo,koo,koo,koo
hiau,僥,300,hiau,hiau,hiau,hiau,hiau
tsiàm,占,300,chiàm,tsiam3,chiam3,tsiam,chiam
luí,壘,300,lúi,lui2,lui2,lui,lui
khong,康,300,khong,khong,khong,khong,khong
tsû,慈,300,chû,tsu5,chu5,tsu,chu
íng,湧,300,éng,ing2,eng2,ing,eng
khut,窟,300,khut,khut,khut,khut,khut
si̍t,翼,300,si̍t,sit8,sit8,sit,sit
bông,雺,300,bông,bong5,bong5,bong,bong
kí,紀,295,kí,ki2,ki2,ki,ki
sut,捽,250,sut,sut,sut,sut,sut
liap,攝,250,liap,liap,liap,liap,liap
tsiánn,汫,250,chiáⁿ,tsiann2,chiann2,tsiann,chiann
khó,洘,250,khó,kho2,kho2,kho,kho
phun,潘,250,phun,phun,phun,phun,phun
tâm,澹,250,tâm,tam5,tam5,tam,tam
hu,烌,250,hu,hu,hu,hu,hu
pān,範,250,pān,pan7,pan7,pan,pan
khiû,虯,250,khiû,khiu5,khiu5,khiu,khiu
ham,蚶,250,ham,ham,ham,ham,ham
thuh,黜,250,thuh,thuh,thuh,thuh,thuh
the,䖙,200,the,the,the,the,the
giâ,夯,200,giâ,gia5,gia5,gia,gia
tūn,屯,200,tūn,tun7,tun7,tun,tun
iā,掖,200,iā,ia7,ia7,ia,ia
tshuah,掣,200,chhoah,tshuah,chhoah,tshuah,chhoah
khiú,搝,200,khiú,khiu2,khiu2,khiu,khiu
siàn,搧,200,siàn,sian3,sian3,sian,sian
lám,攬,200,lám,lam2,lam2,lam,lam
tháu,敨,200,tháu,thau2,thau2,thau,thau
î,於,200,î,i5,i5,i,i
tsú,梓,200,chú,tsu2,chu2,tsu,chu
hâm,涵,200,hâm,ham5,ham5,ham,ham
hang,烘,200,hang,hang,hang,hang,hang
kha̍p,磕,200,kha̍p,khap8,khap8,khap,khap
lâng,膿,200,lâng,lang5,lang5,lang,lang
ìm,蔭,200,ìm,im3,im3,im,im
giô,蟯,200,giô,gio5,gio5,gio,gio
bih,覕,200,bih,bih,bih,bih,bih
tsiān,賤,200,chiān,tsian7,chian7,tsian,chian
tiô,趒,200,tiô,tio5,tio5,tio,tio
khiâ,騎,200,khiâ,khia5,khia5,khia,khia
khau,鬮,200,khau,khau,khau,khau,khau
peh,百,162,peh,peh,peh,peh,peh
hiong,兇,150,hiong,hiong,hiong,hiong,hiong
ki,吱,150,ki,ki,ki,ki,ki
khòng,壙,150,khòng,khong3,khong3,khong,khong
tshe,妻,150,chhe,tshe,chhe,tshe,chhe
hàinn,幌,150,hàiⁿ,hainn3,hainn3,hainn,hainn
