tl,hanzi,frequency,poj,tl_num,poj_num
tê,茶,3426,tê,te5,te5
liân,蓮,999,liân,lian5,lian5
kiunn,薑,400,kiuⁿ,kiunn,kiunn
tîn,藤,350,tîn,tin5,tin5
tōo,杜,300,tō͘,too7,too7
sam,杉,200,sam,sam,sam
tsang,棕,200,chang,tsang,chang
tsiunn,樟,200,chiuⁿ,tsiunn,chiunn
tshat,漆,150,chhat,tshat,chhat
tshîng,松,100,chhêng,tshing5,chheng5
tshîng,榕,100,chhêng,tshing5,chheng5
phuē,稗,100,phōe,phue7,phoe7
kiô,茄,100,kiô,kio5,kio5
hiānn,艾,50,hiāⁿ,hiann7,hiann7
hò,荷,50,hò,ho3,ho3
sann-khak,三麴,25,saⁿ-khak,sannkhak,sannkhak
khu-phiô,丘萍,25,khu-phiô,khuphio5,khuphio5
tiong-iū,中柚,25,tiong-iū,tiongiu7,tiongiu7
káu-tsô,九槽,25,káu-chô,kau2tso5,kau2cho5
kiú-kiong,九芎,25,kiú-kiong,kiu2kiong,kiu2kiong
lin-tsháu,乳草,25,lin-chháu,lintshau2,linchhau2
lin-tîn,乳藤,25,lin-tîn,lintin5,lintin5
kan-kuah,乾葛,25,kan-koah,kankuah,kankoah
a-sam,亞杉,25,a-sam,asam,asam
jîn-kí,仁𣏌,25,jîn-kí,jin5ki2,jin5ki2
sian-tan,仙丹,25,sian-tan,siantan,siantan
sian-tsháu,仙草,25,sian-chháu,siantshau2,sianchhau2
hu̍t-siú,佛手,25,hu̍t-siú,hut8siu2,hut8siu2
tshik-peh,側柏,25,chhek-peh,tshikpeh,chhekpeh
pueh-kak,八角,25,poeh-kak,puehkak,poehkak
phànn-khīng,冇柏,25,phàⁿ-khēng,phann3khing7,phann3kheng7
phànn-kuì,冇桂,25,phàⁿ-kùi,phann3kui3,phann3kui3
phànn-tsiunn,冇樟,25,phàⁿ-chiuⁿ,phann3tsiunn,phann3chiunn
tshì-á,刺仔,25,chhì-á,tshi3a2,chhi3a2
tshì-keh,刺格,25,chhì-keh,tshi3keh,chhi3keh
tshì-tông,刺桐,25,chhì-tông,tshi3tong5,chhi3tong5
tshì-lâm,刺楠,25,chhì-lâm,tshi3lam5,chhi3lam5
tshì-tik,刺竹,25,chhì-tek,tshi3tik,chhi3tek
tshì-kiô,刺茄,25,chhì-kiô,tshi3kio5,chhi3kio5
tshì-tsháu,刺草,25,chhì-chháu,tshi3tshau2,chhi3chhau2
tshì-hīng,刺莧,25,chhì-hēng,tshi3hing7,chhi3heng7
tshì-tshang,刺葱,25,chhì-chhang,tshi3tshang,chhi3chhang
tshì-soo,刺蒐,25,chhì-so͘,tshi3soo,chhi3soo
pû-á,匏仔,25,pû-á,pu5a2,pu5a2
pak-tsio,北蕉,25,pak-chio,paktsio,pakchio
puàn-hā,半夏,25,poàn-hā,puan3ha7,poan3ha7
kńg-peh,卷柏,25,kńg-peh,kng2peh,kng2peh
kāu-khak,厚殼,25,kāu-khak,kau7khak,kau7khak
hâm-siàu,含笑,25,hâm-siàu,ham5siau3,ham5siau3
siong-lio̍k,商陸,25,siong-lio̍k,siongliok8,siongliok8
siān-po̍k,善薄,25,siān-po̍k,sian7pok8,sian7pok8
tshuì-tsháu,嘴草,25,chhùi-chháu,tshui3tshau2,chhui3chhau2
phùn-seh,噴雪,25,phùn-seh,phun3seh,phun3seh
thóo-sam,土杉,25,thó͘-sam,thoo2sam,thoo2sam
thóo-lâm,土楠,25,thó͘-lâm,thoo2lam5,thoo2lam5
thóo-tsiunn,土樟,25,thó͘-chiuⁿ,thoo2tsiunn,thoo2chiunn
thóo-hun,土烟,25,thó͘-hun,thoo2hun,thoo2hun
thóo-hun,土煙,25,thó͘-hun,thoo2hun,thoo2hun
thóo-ho̍k,土茯,25,thó͘-ho̍k,thoo2hok8,thoo2hok8
thôo-tāu,土豆,25,thô͘-tāu,thoo5tau7,thoo5tau7
thôo-hiunn,土香,25,thô͘-hiuⁿ,thoo5hiunn,thoo5hiunn
tē-ting,地丁,25,tē-teng,te7ting,te7teng
suî-liú,垂柳,25,sûi-liú,sui5liu2,sui5liu2
poo-kiunn,埔姜,25,po͘-kiuⁿ,pookiunn,pookiunn
poo-lûn,埔崙,25,po͘-lûn,poolun5,poolun5
poo-tiū,埔稻,25,po͘-tiū,pootiu7,pootiu7
poo-iâm,埔鹽,25,po͘-iâm,pooiam5,pooiam5
hē-bê,夏粥,25,hē-bê,he7be5,he7be5
iā-ha̍p,夜合,25,iā-ha̍p,ia7hap8,ia7hap8
tuā-phànn,大冇,25,tōa-phàⁿ,tua7phann3,toa7phann3
tuā-tsó,大棗,25,tōa-chó,tua7tso2,toa7cho2
tuā-tshinn,大菁,25,tōa-chhiⁿ,tua7tshinn,toa7chhinn
tuā-tshài,大菜,25,tōa-chhài,tua7tshai3,toa7chhai3
tuā-phiô,大萍,25,tōa-phiô,tua7phio5,toa7phio5
tuā-be̍h,大麥,25,tōa-be̍h,tua7beh8,toa7beh8
thian-tsháu,天草,25,thian-chháu,thiantshau2,thianchhau2
siā-kan,射干,25,siā-kan,sia7kan,sia7kan
sió-tshinn,小菁,25,sió-chhiⁿ,sio2tshinn,sio2chhinn
sió-be̍h,小麥,25,sió-be̍h,sio2beh8,sio2beh8
suann-nai,山奈,25,soaⁿ-nai,suannnai,soannnai
suann-sam,山杉,25,soaⁿ-sam,suannsam,soannsam
suann-khīng,山柏,25,soaⁿ-khēng,suannkhing7,soannkheng7
suann-khī,山柿,25,soaⁿ-khī,suannkhi7,soannkhi7
suann-lâi,山梨,25,soaⁿ-lâi,suannlai5,soannlai5
suann-tsang,山棕,25,soaⁿ-chang,suanntsang,soannchang
suann-tshîng,山榕,25,soaⁿ-chhêng,suanntshing5,soannchheng5
suann-tshat,山漆,25,soaⁿ-chhat,suanntshat,soannchhat
suann-tê,山茶,25,soaⁿ-tê,suannte5,soannte5
suann-tshinn,山菁,25,soaⁿ-chhiⁿ,suanntshinn,soannchhinn
suann-kiok,山菊,25,soaⁿ-kiok,suannkiok,soannkiok
suann-muâ,山麻,25,soaⁿ-môa,suannmua5,soannmoa5
tshuan-tshit,川七,25,chhoan-chhit,tshuantshit,chhoanchhit
pa-tau,巴豆,25,pa-tau,patau,patau
pa-tāu,巴豆,25,pa-tāu,patau7,patau7
tshī-tshang,市葱,25,chhī-chhang,tshi7tshang,chhi7chhang
pòo-kiunn,布姜,25,pò͘-kiuⁿ,poo3kiunn,poo3kiunn
siông-san,常山,25,siông-san,siong5san,siong5san
nî-kam,年柑,25,nî-kam,ni5kam,ni5kam
kóng-á,廣仔,25,kóng-á,kong2a2,kong2a2
gōng-tshiū,戇樹,25,gōng-chhiū,gong7tshiu7,gong7chhiu7
tshiú-io̍h,手藥,25,chhiú-io̍h,tshiu2ioh8,chhiu2ioh8
pat-á,扒仔,25,pat-á,pata2,pata2
tánn-tsio,打招,25,táⁿ-chio,tann2tsio,tann2chio
buah-tsháu,抹草,25,boah-chháu,buahtshau2,boahchhau2
pua̍t-á,拔仔,25,poa̍t-á,puat8a2,poat8a2
iông-phoo,揚波,25,iông-pho͘,iong5phoo,iong5phoo
phang-kuì,攀桂,25,phang-kùi,phangkui3,phangkui3
bûn-tàn,文旦,25,bûn-tàn,bun5tan3,bun5tan3
táu-iū,斗柚,25,táu-iū,tau2iu7,tau2iu7
táu-lo̍k,斗鹿,25,táu-lo̍k,tau2lok8,tau2lok8
tsá-iū,早柚,25,chá-iū,tsa2iu7,cha2iu7
bān-iū,晚柚,25,bān-iū,ban7iu7,ban7iu7
