tl,hanzi
á-bô,á無
á-î,á蛦
á-phàu,阿炮
à-lîng,啞鈴
ā-hó,ā好
ā-khú-lih,ā-khú-lih
ā-sái,ā使
ā-suah-sī,ā-soah是
ā-suah-ū,ā-soah有
ā-tio̍h,ā著
ā-ū,ā有
a-bó,阿母
a-tsa,腌臢
a-tsik,阿叔
a-tsím,阿嬸
a-tsiu,亞洲
a-tsóo,阿祖
a-geh,阿給
ah,ah
ah,押
ah,鴨
ah,壓
ah-bué-āu,押尾後
a̍h,a̍h
a̍h,盒
a̍h-á,匣仔
a̍h-á,盒仔
a̍h-tshioh,壓尺
a̍h-tsng,盒裝
a̍h-ik,壓抑
a̍h-kē,壓低
a̍h-kíng,壓境
a̍h-pán,壓板
a̍h-ū-tse,a̍h有che
ah-á-kiánn,鴨仔囝
ah-á-tan,鴨仔tan
ah-āu,押後
ah-bah,鴨肉
ah-bî,鴨咪
ah-bî-á,鴨咪仔
ah-bī,鴨味
ah-bī,壓味
ah-bó,鴨母
ah-bó-tsháu,鴨母草
ah-bó-tshiū,鴨母樹
ah-bó-tsu,鴨母珠
ah-bó-hiānn,益母艾
ah-bó-it,鴨母乙
ah-bó-le̍h,鴨母笠
ah-bó-phànn,鴨母冇
ah-bó-tê,鴨母蹄
ah-bué,押尾
ah-buē-sī,ah未是
ah-tsài,押載
ah-tshioh,鴨尺
ah-tshuì-hông,鴨嘴hông
ah-tshut,押出
ah-tsi̍h-tsháu,鴨舌草
ah-tsi̍h-hông,鴨舌hông
ah-tsiúnn,鴨掌
ah-hîng,鴨雄
ah-hîng-á,鴨雄仔
ah-huē,押匯
ah-hóo,壓虎
a-hiann,阿兄
ah-kái,押解
ah-kak,鴨角
ah-kang,鴨公
ah-kang-khiû,鴨公khiû
ah-kē,抑低
ah-kha-bo̍k,鴨腳木
ah-kha-tshiū,鴨腳樹
ah-kha-tsiúnn,鴨腳掌
ah-kha-hiānn,鴨腳艾
ah-kha-hiunn,鴨腳香
ah-kha-pê,鴨腳扒
ah-kha-phuê,鴨腳皮
ah-kha-sik,鴨腳稷
ah-kha-sué,鴨腳黍
ah-kha-tê,鴨腳蹄
ah-khut,抑屈
ah-kim,押金
ah-kui,鴨kui
ah-lāi,押利
ah-láng-hì,壓籠戲
ah-li̍k,鴨綠
ah-lo̍h-sìng,壓落性
ah-lo̍h-té,壓落底
ah-lut-á,鴨lut仔
ah-nn̄g,鴨卵
ah-nn̄g-bīn,鴨卵面
ah-nn̄g-tshenn,鴨卵青
ah-nn̄g-tshing,鴨卵青
ah-nn̄g-hîng,鴨卵形
ah-pa,鴨巴
ah-pà,壓霸
ah-phiò,押票
ah-pio-kim,押標金
ah-pńg,押榜
ah-sàng,押送
ah-sī,ah是
ah-siàu,押數
ah-siúnn,鴨賞
ah-suah,押煞
ah-tê-tsháu,鴨蹄草
ah-tê-sé,鴨蹄黍
ah-thôo-tsu,鴨土珠
ah-thûn-á,鴨豚仔
ah-ūn,押韻
ai,哀
ái-á,噯仔
ài,愛
ài-tshing-khì,愛清氣
ài-phò-tāu,愛phò-tāu
ài-beh,愛欲
ài-bīn-tsú,愛面子
ài-bōo,愛慕
ài-tsènn,愛諍
ài-tsîng,愛情
ài-tshap-sū,愛插事
ài-tshe,愛妻
ài-tshiò,愛笑
ài-tsú,愛子
ài-īng,愛用
ài-ga̍k,愛樂
ài-gio̍k-á,愛玉仔
ài-gio̍k-tsí,愛玉子
ài-háu,愛哮
ài-hīn,愛恨
ài-hô,愛河
ài-hông,愛紅
ài-hong-sîn,愛風神
ài-hōo,愛護
ài-iōng,愛用
ài-jîn,愛人
ài-jîn-á,愛人仔
ài-khàu,愛哭
ài-khàu-bīn,愛哭面
ài-khàu-sîn,愛哭神
ài-khián,愛犬
ài-khùn,愛睏
ài-khùn-ba̍k,愛睏目
ài-khùn-tshiū,愛睏樹
ài-khùn-io̍h,愛睏藥
ài-khùn-kuí,愛睏鬼
ài-khùn-sîn,愛睏神
ài-kiau,愛嬌
ài-kok,愛國
ài-kok-sim,愛國心
ài-kóng-uē,愛講話
ài-kòo,愛顧
ài-lí,愛女
ài-māi,曖昧
ài-sim,愛心
ài-sîn,愛神
ài-sioh,愛惜
ài-sńg,愛耍
ài-sū,愛事
ài-suí,愛suí
ài-tài,愛戴
ài-tik-huâ,愛德華
ài-thé-biān,愛體面
ài-thit,愛thit
ài-tián,愛展
ài-tio̍h,愛著
a-î,阿姨
ai-ai-tshan,哀哀呻
ai-ai-háu,哀哀háu
ai-ai-kiò,哀哀叫
ai-ai-thiu,哀哀抽
a-iân,亞鉛
a-iân-pán,亞鉛板
a-iân-phiánn,亞鉛鉼
a-iân-si,阿鉛絲
a-iân-suànn,亞鉛線
a-iân-tháng,亞鉛桶
a-iân-thih,亞鉛鐵
ai-tshan,唉呻
ai-îng,哀榮
ai-gō,挨餓
ai-iah,唉呀
ai-ioh,噯喲
ai-kiû,哀求
āinn,āinn
āinn-kin,āinn巾
ai-uàn,哀怨
ai-siong,哀傷
ai-sû,哀詞
ai-thiànn,哀痛
ai-tinn,ai甜
ai-tō,哀悼
ai-tōng,哀慟
a-jia̍t-tài,亞熱帶
ak,沃
a̍k-á,a̍k仔
a-kah,阿及
a-káu,阿狗
a-káu-khì,阿狗氣
ak-âu,沃喉
ak-tsak,偓促
ak-tsa̍k,齷齪
ak-tsak-hué,偓促火
ak-tsak-jua̍h,偓促熱
ak-tshân,沃田
ak-tshiú,握手
ak-tsuí,沃水
a-khīng,椏虹
ak-hōo,沃雨
a-kīm,阿妗
a-kiōng-á,阿共仔
ak-iú,握有
a-ko,阿哥
a-kong,阿公
a-ko-sià,阿哥舍
a-koo,阿姑
ak-puî,沃肥
ak-tâm,沃tâm
a-kū,阿舅
a-kun,亞軍
a-lé,啞鈴
a-lí-san,阿里山
a-lí-sim,阿里參
am,庵
am,掩
am,醃
am,闇
ám,ám
a-ḿ,阿姆
ám-ám,ám-ám
ám-tsiunn,ám漿
ám-lī,ám濾
ám-muâi,ám糜
ám-muâi-á,ám糜仔
ám-muâi-hue,ám糜花
ám-phe̍h,ám-phe̍h
ám-phīnn-ko,ám鼻哥
ám-tè,ám滯
ám-thng,ám湯
ám-thng-sái,ám湯屎
ám-thong-thong,ám-thong-thong
àm,暗
àm-huann-hí,暗歡喜
àm-an,暗安
àm-ba̍t,暗密
àm-bîn-bong,暗眠摸
àm-bo̍k-bo̍k,暗漠漠
àm-bong-bong,暗摸摸
àm-bong-sa,暗摸捎
àm-bôo,暗謀
àm-tsa,暗查
àm-tsàu,暗奏
àm-tshàng,暗藏
àm-tshìng,暗銃
àm-tshia,暗車
àm-tshiò,暗笑
àm-tshiunn,暗鯧
àm-tshǹg,暗串
àm-tshù,暗處
àm-tsìnn,暗箭
àm-tsīnn,暗靜
àm-tsīnn-á,暗靜仔
àm-tsiuh-tsiuh,暗chiuh-chiuh
àm-tsuā,暗逝
àm-tsū,暗自
àm-hīng,暗行
àm-hiong,暗香
àm-hō,暗號
àm-hué,暗火
àm-ho̍k,暗伏
àm-hóng,暗訪
àm-hōo,暗雨
àm-hûn,暗痕
àm-hûn,暗雲
àm-hūn,暗分
àm-iánn,暗影
àm-iú,暗酉
àm-kàng,暗槓
àm-kau,暗溝
àm-kè,暗計
àm-king,暗間
àm-king-á,暗間仔
àm-khàm,暗khàm
àm-khang,暗空
àm-khang-á,暗空仔
àm-khǹg,暗khǹg
àm-khùn,暗睏
àm-kì,暗記
àm-kì-hō,暗記號
àm-kuà-tsiáu,暗掛鳥
àm-kuat,暗訣
àm-kong,暗光
àm-kong-tsiáu,暗光鳥
àm-kóo,暗股
àm-kuí,暗鬼
àm-kuí-á,暗鬼仔
àm-lâm,暗藍
àm-lâu,暗流
àm-lâu-á,暗樓仔
àm-li̍k,暗綠
àm-liām,暗唸
àm-liú,暗鈕
àm-lōo,暗路
àm-mê,暗暝
àm-miâ,暗名
àm-mi-moo,暗mi-moo
àm-moo-moo,暗moo-moo
àm-niau-niau,暗貓貓
àm-uànn-tsiáu,暗晏鳥
àm-o̍h,暗學
àm-o̍h-á,暗學仔
àm-pan,暗班
àm-pâng,暗房
àm-pēnn,暗病
àm-phú,暗殕
àm-pn̄g,暗飯
àm-poo,暗晡
àm-pōo,暗步
àm-poo-á,暗晡仔
àm-sàm,暗sàm
àm-sàm-pēnn,暗sàm病
àm-sat,暗殺
àm-sik,暗色
àm-sik,暗室
àm-sî,暗時
àm-sī,暗示
àm-siā,暗射
àm-siā,暗麝
àm-siong,暗傷
àm-siōng,暗誦
àm-sǹg,暗算
àm-só,暗鎖
àm-sô-sô,暗sô-sô
àm-suàn,暗算
àm-sóng,暗爽
àm-so-so,暗so-so
àm-ta,暗礁
àm-tām,暗淡
àm-tām,黯淡
àm-tē,暗地
àm-tē-á,暗袋仔
àm-thâu,暗頭
àm-thâu-á,暗頭仔
àm-thiòng,暗暢
àm-tiānn,暗定
àm-tiâu,暗潮
àm-tīnn,暗淀
