hanzi,tl,frequency,poj,tl_num,poj_num
邊,pinn,5350,piⁿ,pinn,pinn
畫,uē,2560,ōe,ue7,oe7
龜,ku,2000,ku,ku,ku
刻,khik,1154,khek,khik,khek
黏,liâm,969,liâm,liam5,liam5
鏡,kiànn,750,kiàⁿ,kiann3,kiann3
割,kuah,700,koah,kuah,koah
剪,tsián,400,chián,tsian2,chian2
尺,tshioh,400,chhioh,tshioh,chhioh
毛,moo,384,mo͘,moo,moo
堆,tui,350,tui,tui,tui
塑,sok,300,sok,sok,sok
摃,kòng,300,kòng,kong3,kong3
貼,tah,300,tah,tah,tah
敲,khà,200,khà,kha3,kha3
疊,tha̍h,200,tha̍h,thah8,thah8
鶴,ho̍h,100,ho̍h,hoh8,hoh8
捏,liap,50,liap,liap,liap
繞,liáu,50,liáu,liau2,liau2
iōng碗,iōng-uánn,25,iōng-óaⁿ,iong7uann2,iong7oann2
khò-té,khò-té,25,khò-té,kho3te2,kho3te2
一吞,tsi̍t-thun,25,chi̍t-thun,tsit8thun,chit8thun
三花,sam-hue,25,sam-hoe,samhue,samhoe
九層,káu-tsan,25,káu-chan,kau2tsan,kau2chan
令旗,līng-kî,25,lēng-kî,ling7ki5,leng7ki5
作椅,tsoh-í,25,choh-í,tsohi2,chohi2
保青,pó-tshenn,25,pó-chheⁿ,po2tshenn,po2chhenn
修光,siu-kng,25,siu-kng,siukng,siukng
倒角,tò-kak,25,tò-kak,to3kak,to3kak
傍仔,png-á,25,png-á,pnga2,pnga2
冷盤,líng-puânn,25,léng-pôaⁿ,ling2puann5,leng2poann5
凹剾,nah-khau,25,nah-khau,nahkhau,nahkhau
出芽,tshut-gê,25,chhut-gê,tshutge5,chhutge5
分座,hun-tsō,25,hun-chō,huntso7,huncho7
分線,pun-suànn,25,pun-sòaⁿ,punsuann3,punsoann3
切仔,tshiat-á,25,chhiat-á,tshiata2,chhiata2
切檯,tshiat-tâi,25,chhiat-tâi,tshiattai5,chhiattai5
切針,tshiat-tsiam,25,chhiat-chiam,tshiattsiam,chhiatchiam
刮刀,kueh-to,25,koeh-to,kuehto,koehto
刮青,kueh-tshenn,25,koeh-chheⁿ,kuehtshenn,koehchhenn
刻字,khik-jī,25,khek-jī,khikji7,khekji7
刻花,khik-hue,25,khek-hoe,khikhue,khekhoe
剪仔,tsián-á,25,chián-á,tsian2a2,chian2a2
剪絨,tsián-jiông,25,chián-jiông,tsian2jiong5,chian2jiong5
剪黏,tsián-liâm,25,chián-liâm,tsian2liam5,chian2liam5
剾刀,khau-to,25,khau-to,khauto,khauto
剾枋,khau-pang,25,khau-pang,khaupang,khaupang
劍指,kiàm-kí,25,kiàm-kí,kiam3ki2,kiam3ki2
劍獅,kiàm-sai,25,kiàm-sai,kiam3sai,kiam3sai
包布,pau-pòo,25,pau-pò͘,paupoo3,paupoo3
包管,pau-kóng,25,pau-kóng,paukong2,paukong2
化色,huà-sik,25,hòa-sek,hua3sik,hoa3sek
北式,pak-sik,25,pak-sek,paksik,paksek
南式,lâm-sik,25,lâm-sek,lam5sik,lam5sek
博古,phok-kóo,25,phok-kó͘,phokkoo2,phokkoo2
印台,ìn-tâi,25,ìn-tâi,in3tai5,in3tai5
印花,ìn-hue,25,ìn-hoe,in3hue,in3hoe
卵殼,nn̄g-khak,25,nn̄g-khak,nng7khak,nng7khak
古錢,kóo-tsînn,25,kó͘-chîⁿ,koo2tsinn5,koo2chinn5
吊夾,tiàu-ngeh,25,tiàu-ngeh,tiau3ngeh,tiau3ngeh
吊花,tiàu-hue,25,tiàu-hoe,tiau3hue,tiau3hoe
吊鑽,tiàu-tsǹg,25,tiàu-chǹg,tiau3tsng3,tiau3chng3
名牌,bîng-pâi,25,bêng-pâi,bing5pai5,beng5pai5
吟龍,gîm-lîng,25,gîm-lêng,gim5ling5,gim5leng5
喙舌,tshuì-tsi̍h,25,chhùi-chi̍h,tshui3tsih8,chhui3chih8
噴漆,phùn-tshat,25,phùn-chhat,phun3tshat,phun3chhat
噴膠,phùn-ka,25,phùn-ka,phun3ka,phun3ka
噴銃,phùn-tshìng,25,phùn-chhèng,phun3tshing3,phun3chheng3
圍巾,uî-kin,25,ûi-kin,ui5kin,ui5kin
圓桶,înn-táng,25,îⁿ-táng,inn5tang2,inn5tang2
圓目,înn-ba̍k,25,îⁿ-ba̍k,inn5bak8,inn5bak8
地磅,tē-pōng,25,tē-pōng,te7pong7,te7pong7
坐五,tsē-gōo,25,chē-gō͘,tse7goo7,che7goo7
堆的,tui-ê,25,tui-ê,tuie5,tuie5
堵頭,tóo-thâu,25,tó͘-thâu,too2thau5,too2thau5
塔啾,tah-tshiu,25,tah-chhiu,tahtshiu,tahchhiu
塔梯,thah-thui,25,thah-thui,thahthui,thahthui
塔舌,thah-tsi̍h,25,thah-chi̍h,thahtsih8,thahchih8
塗捀,thôo-phâng,25,thô͘-phâng,thoo5phang5,thoo5phang5
塗朱,thôo-tsu,25,thô͘-chu,thoo5tsu,thoo5chu
塗紙,thôo-tsuá,25,thô͘-chóa,thoo5tsua2,thoo5choa2
塗胚,thôo-phue,25,thô͘-phoe,thoo5phue,thoo5phoe
塭仔,un-á,25,un-á,una2,una2
墜仔,tuī-á,25,tūi-á,tui7a2,tui7a2
墨斗,ba̍k-táu,25,ba̍k-táu,bak8tau2,bak8tau2
壁堵,piah-tóo,25,piah-tó͘,piahtoo2,piahtoo2
壓扒,ah-pe,25,ah-pe,ahpe,ahpe
大破,tuā-phuà,25,tōa-phòa,tua7phua3,toa7phoa3
大菁,tuā-tshinn,25,tōa-chhiⁿ,tua7tshinn,toa7chhinn
大鏨,tuā-tsām,25,tōa-chām,tua7tsam7,toa7cham7
夾仔,ngeh-á,25,ngeh-á,ngeha2,ngeha2
夾枋,kiap-pang,25,kiap-pang,kiappang,kiappang
如意,jû-ì,25,jû-ì,ju5i3,ju5i3
定kô,tīng-kô,25,tēng-kô,ting7ko5,teng7ko5
定闊,tīng-khuah,25,tēng-khoah,ting7khuah,teng7khoah
寄線,kià-suànn,25,kià-sòaⁿ,kia3suann3,kia3soann3
寶扇,pó-sìnn,25,pó-sìⁿ,po2sinn3,po2sinn3
封帽,hong-bō,25,hong-bō,hongbo7,hongbo7
對破,tuì-phuà,25,tùi-phòa,tui3phua3,tui3phoa3
小旦,sió-tuànn,25,sió-tòaⁿ,sio2tuann3,sio2toann3
小生,sió-sing,25,sió-seng,sio2sing,sio2seng
小菁,sió-tshinn,25,sió-chhiⁿ,sio2tshinn,sio2chhinn
尺鎚,tshioh-thuî,25,chhioh-thûi,tshiohthui5,chhiohthui5
屏風,pîn-hong,25,pîn-hong,pin5hong,pin5hong
巧雕,khá-tiau,25,khá-tiau,kha2tiau,kha2tiau
布枋,pòo-pang,25,pò͘-pang,poo3pang,poo3pang
布碖,pòo-lún,25,pò͘-lún,poo3lun2,poo3lun2
布袋,pòo-tē,25,pò͘-tē,poo3te7,poo3te7
帶鋸,tuà-kù,25,tòa-kù,tua3ku3,toa3ku3
帶騎,tài-khiâ,25,tài-khiâ,tai3khia5,tai3khia5
帽仔,bō-á,25,bō-á,bo7a2,bo7a2
平尺,phînn-tshioh,25,phîⁿ-chhioh,phinn5tshioh,phinn5chhioh
平枋,pênn-pang,25,pêⁿ-pang,penn5pang,penn5pang
幼破,iù-phuà,25,iù-phòa,iu3phua3,iu3phoa3
幼胚,iù-phue,25,iù-phoe,iu3phue,iu3phoe
幼蔥,iù-tshong,25,iù-chhong,iu3tshong,iu3chhong
幼針,iù-tsiam,25,iù-chiam,iu3tsiam,iu3chiam
度針,tōo-tsiam,25,tō͘-chiam,too7tsiam,too7chiam
弓仔,king-á,25,keng-á,kinga2,kenga2
弓枋,king-pang,25,keng-pang,kingpang,kengpang
彎剾,uân-khau,25,oân-khau,uan5khau,oan5khau
彩繪,tshái-uē,25,chhái-ōe,tshai2ue7,chhai2oe7
徛七,khiā-tshit,25,khiā-chhit,khia7tshit,khia7chhit
徛心,khiā-sim,25,khiā-sim,khia7sim,khia7sim
徛柱,khiā-thiāu,25,khiā-thiāu,khia7thiau7,khia7thiau7
徛鏡,khiā-kiànn,25,khiā-kiàⁿ,khia7kiann3,khia7kiann3
戕仔,tshiâng-á,25,chhiâng-á,tshiang5a2,chhiang5a2
戰甲,tsiàn-kah,25,chiàn-kah,tsian3kah,chian3kah
扁擔,pún-tann,25,pún-taⁿ,pun2tann,pun2tann
手包,tshiú-pau,25,chhiú-pau,tshiu2pau,chhiu2pau
手指,tshiú-tsí,25,chhiú-chí,tshiu2tsi2,chhiu2chi2
手裒,tshiú-pôo,25,chhiú-pô͘,tshiu2poo5,chhiu2poo5
手銬,tshiú-khàu,25,chhiú-khàu,tshiu2khau3,chhiu2khau3
托燈,thuh-ting,25,thuh-teng,thuhting,thuhteng
批塗,phi-thôo,25,phi-thô͘,phithoo5,phithoo5
披土,phi-thôo,25,phi-thô͘,phithoo5,phithoo5
抹刀,buah-to,25,boah-to,buahto,boahto
抾板,khioh-pán,25,khioh-pán,khiohpan2,khiohpan2
抾蒼,khioh-tshong,25,khioh-chhong,khiohtshong,khiohchhong
拆線,thiah-suànn,25,thiah-sòaⁿ,thiahsuann3,thiahsoann3
拍漿,phah-tsiunn,25,phah-chiuⁿ,phahtsiunn,phahchiunn
拍空,phah-khang,25,phah-khang,phahkhang,phahkhang
拍箍,phah-khoo,25,phah-kho͘,phahkhoo,phahkhoo
拍胚,phah-phue,25,phah-phoe,phahphue,phahphoe
拔花,puēh-hue,25,poēh-hoe,pueh7hue,poeh7hoe
拗彎,áu-uan,25,áu-oan,au2uan,au2oan
挖空,ué-khang,25,óe-khang,ue2khang,oe2khang
挲線,so-suànn,25,so-sòaⁿ,sosuann3,sosoann3
捀盤,phâng-puânn,25,phâng-pôaⁿ,phang5puann5,phang5poann5
捆絃,khún-hiân,25,khún-hiân,khun2hian5,khun2hian5
捏頭,lia̍p-thâu,25,lia̍p-thâu,liap8thau5,liap8thau5
捲枋,kńg-pang,25,kńg-pang,kng2pang,kng2pang
掃枋,sàu-pang,25,sàu-pang,sau3pang,sau3pang
掠花,lia̍h-hue,25,lia̍h-hoe,liah8hue,liah8hoe
接剾,tsiap-khau,25,chiap-khau,tsiapkhau,chiapkhau
接線,tsiap-suànn,25,chiap-sòaⁿ,tsiapsuann3,chiapsoann3
