hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
頭,thâu,34601,thâu,thau5,thau5,thau,thau
大,tuā,30086,tōa,tua7,toa7,tua,toa
面,bīn,18694,bīn,bin7,bin7,bin,bin
水,tsuí,18181,chúi,tsui2,chui2,tsui,chui
年,nî,16886,nî,ni5,ni5,ni,ni
日,ji̍t,14244,ji̍t,jit8,jit8,jit,jit
工,kang,12379,kang,kang1,kang1,kang,kang
跤,kha,10537,kha,kha1,kha1,kha,kha
風,hong,9297,hong,hong1,hong1,hong,hong
字,jī,9159,jī,ji7,ji7,ji,ji
發,huat,9126,hoat,huat4,hoat4,huat,hoat
影,iánn,9036,iáⁿ,iann2,iann2,iann,iann
厝,tshù,8959,chhù,tshu3,chhu3,tshu,chhu
小,sió,8653,sió,sio2,sio2,sio,sio
分,hun,8581,hun,hun1,hun1,hun,hun
音,im,8544,im,im1,im1,im,im
花,hue,7690,hoe,hue1,hoe1,hue,hoe
加,ka,7091,ka,ka1,ka1,ka,ka
點,tiám,7036,tiám,tiam2,tiam2,tiam,tiam
力,li̍k,6904,le̍k,lik8,lek8,lik,lek
電,tiān,6698,tiān,tian7,tian7,tian,tian
名,miâ,6546,miâ,mia5,mia5,mia,mia
度,tōo,6182,tō͘,too7,too7,too,too
濟,tsē,6126,chē,tse7,che7,tse,che
比,pí,5713,pí,pi2,pi2,pi,pi
月,gue̍h,5651,goe̍h,gueh8,goeh8,gueh,goeh
邊,pinn,5350,piⁿ,pinn1,pinn1,pinn,pinn
魚,hî,5259,hî,hi5,hi5,hi,hi
草,tsháu,4667,chháu,tshau2,chhau2,tshau,chhau
細,sè,4559,sè,se3,se3,se,se
長,tn̂g,4422,tn̂g,tng5,tng5,tng,tng
正,tsìng,4364,chèng,tsing3,cheng3,tsing,cheng
底,té,4318,té,te2,te2,te,te
田,tshân,4120,chhân,tshan5,chhan5,tshan,chhan
樹,tshiū,4070,chhiū,tshiu7,chhiu7,tshiu,chhiu
和,hô,3885,hô,ho5,ho5,ho,ho
詩,si,3665,si,si1,si1,si,si
角,kak,3575,kak,kak4,kak4,kak,kak
形,hîng,3419,hêng,hing5,heng5,hing,heng
句,kù,3378,kù,ku3,ku3,ku,ku
燒,sio,3369,sio,sio1,sio1,sio,sio
望,bōng,3218,bōng,bong7,bong7,bong,bong
紙,tsuá,3134,chóa,tsua2,choa2,tsua,choa
詞,sû,2871,sû,su5,su5,su,su
數,sòo,2832,sò͘,soo3,soo3,soo,soo
球,kiû,2784,kiû,kiu5,kiu5,kiu,kiu
量,liōng,2765,liōng,liong7,liong7,liong,liong
光,kng,2761,kng,kng1,kng1,kng,kng
懸,kuân,2753,koân,kuan5,koan5,kuan,koan
差,tsha,2740,chha,tsha1,chha1,tsha,chha
雨,hōo,2449,hō͘,hoo7,hoo7,hoo,hoo
力,la̍t,2342,la̍t,lat8,lat8,lat,lat
班,pan,2292,pan,pan1,pan1,pan,pan
熱,jia̍t,2275,jia̍t,jiat8,jiat8,jiat,jiat
鼓,kóo,2258,kó͘,koo2,koo2,koo,koo
湖,ôo,2109,ô͘,oo5,oo5,oo,oo
批,phue,1936,phoe,phue1,phoe1,phue,phoe
圓,înn,1855,îⁿ,inn5,inn5,inn,inn
除,tî,1812,tî,ti5,ti5,ti,ti
商,siong,1750,siong,siong1,siong1,siong,siong
短,té,1674,té,te2,te2,te,te
堅,kian,1553,kian,kian1,kian1,kian,kian
根,kin,1550,kin,kin1,kin1,kin,kin
少,tsió,1505,chió,tsio2,chio2,tsio,chio
減,kiám,1370,kiám,kiam2,kiam2,kiam,kiam
星,tshenn,1288,chheⁿ,tshenn1,chhenn1,tshenn,chhenn
飛,pue,1258,poe,pue1,poe1,pue,poe
街,ke,1223,ke,ke1,ke1,ke,ke
厚,kāu,1200,kāu,kau7,kau7,kau,kau
刻,khik,1154,khek,khik4,khek4,khik,khek
雲,hûn,1098,hûn,hun5,hun5,hun,hun
節,tsat,1067,chat,tsat4,chat4,tsat,chat
粗,tshoo,1050,chho͘,tshoo1,chhoo1,tshoo,chhoo
闊,khuah,1014,khoah,khuah4,khoah4,khuah,khoah
鹽,iâm,950,iâm,iam5,iam5,iam,iam
所在,sóo-tsāi,902,só͘-chāi,soo2tsai7,soo2chai7,sootsai,soochai
板,pán,900,pán,pan2,pan2,pan,pan
曲,khik,878,khek,khik4,khek4,khik,khek
卵,nn̄g,850,nn̄g,nng7,nng7,nng,nng
鹿,lo̍k,800,lo̍k,lok8,lok8,lok,lok
冰,ping,750,peng,ping1,peng1,ping,peng
積,tsik,750,chek,tsik4,chek4,tsik,chek
腰,io,750,io,io1,io1,io,io
霧,bū,750,bū,bu7,bu7,bu,bu
面,biān,736,biān,bian7,bian7,bian,bian
姓,sènn,682,sèⁿ,senn3,senn3,senn,senn
了後,liáu-āu,584,liáu-āu,liau2au7,liau2au7,liauau,liauau
朋友,pîng-iú,574,pêng-iú,ping5iu2,peng5iu2,pingiu,pengiu
揀,kíng,550,kéng,king2,keng2,king,keng
栽,tsai,550,chai,tsai1,chai1,tsai,chai
滾,kún,550,kún,kun2,kun2,kun,kun
酸,sng,550,sng,sng1,sng1,sng,sng
象,tshiūnn,531,chhiūⁿ,tshiunn7,chhiunn7,tshiunn,chhiunn
搶,tshiúnn,500,chhiúⁿ,tshiunn2,chhiunn2,tshiunn,chhiunn
胃,uī,450,ūi,ui7,ui7,ui,ui
雪,seh,450,seh,seh4,seh4,seh,seh
坪,pênn,400,pêⁿ,penn5,penn5,penn,penn
霜,sng,400,sng,sng1,sng1,sng,sng
老師,lāu-su,394,lāu-su,lau7su1,lau7su1,lausu,lausu
歕,pûn,350,pûn,pun5,pun5,pun,pun
犁,lê,350,lê,le5,le5,le,le
