hanzi,tl,frequency
點,tiám,7036
掠,lia̍h,4324
局,kio̍k,2245
番,huan,2005
箍,khoo,1764
拖,thua,1704
列,lia̍t,1678
型,hîng,1100
抾,khioh,900
摃,kòng,300
捲,kńg,250
疊,tha̍h,200
揤,tshi̍h,150
欄,nuâ,150
寄付,kià-hù,100
櫓,lóo,100
遊戲,iû-hì,100
野球,iá-kiû,100
lóo,lóo,50
ì,ì,50
埋,tâi,50
獒,ngôo,50
艾,hiānn,50
OK球,ok-kiû,25
a-lé,a-lé,25
a̋m-phái,a̋m-phái,25
bat-tah,bat-tah,25
bàn-tooh,bàn-tooh,25
bàng-gà,bàng-gà,25
bá-tah,bá-tah,25
bé-khòng,bé-khòng,25
bòo-lù,bòo-lù,25
bóo-khuh,bóo-khuh,25
há-khih,há-khih,25
há-muh,há-muh,25
hí-tooh,hí-tooh,25
hò-sù,hò-sù,25
hóo-tok,hóo-tok,25
ió-gà,ió-gà,25
khah-tah,khah-tah,25
khai-tián,khai-tián,25
khia̋n-sé,khia̋n-sé,25
khiá-tsiah,khiá-tsiah,25
khà-bah,khà-bah,25
khà-buh,khà-buh,25
khóo-pih,khóo-pih,25
luī-lóo,luī-lóo,25
lài-tooh,lài-tooh,25
làng-nah,làng-nah,25
lé-tooh,lé-tooh,25
lòo-kerh,lòo-kerh,25
lòo-suh,lòo-suh,25
lóo-tìng,lóo-tìng,25
me-lóng,me-lóng,25
mài-khù,mài-khù,25
má-tsiah,má-tsiah,25
mî-im,mî-im,25
mù-sìr,mù-sìr,25
ok-sái,ok-sái,25
phit-tsiah,phit-tsiah,25
phi̋n-phóng,phi̋n-phóng,25
phòng-phuh,phòng-phuh,25
sa̋n-sín,sa̋n-sín,25
siat-tooh,siat-tooh,25
siàn-tah,siàn-tah,25
siáu-uah,siáu-uah,25
siò-tooh,siò-tooh,25
siù-tooh,siù-tooh,25
sà-tooh,sà-tooh,25
sè-hù,sè-hù,25
sìn-khah,sìn-khah,25
thiàn-tòo,thiàn-tòo,25
thá-guh,thá-guh,25
tshì-sìr,tshì-sìr,25
tshì-sù,tshì-sù,25
tsit-puh,tsit-puh,25
táng-lóo,táng-lóo,25
tōo-né,tōo-né,25
uá-hòo,uá-hòo,25
è-sìr,è-sìr,25
é-lah,é-lah,25
òo-tah,òo-tah,25
䆀球,bái-kiû,25
䖙捒,the-sak,25
一勝,it-sìng,25
一塊,tsi̍t-tè,25
一軍,it-kun,25
三塊,sann-tè,25
三殺,sam-sat,25
上壘,tsiūnn-luí,25
上籃,tsiūnn-nâ,25
下載,hā-tsài,25
並枕,phīng-tsím,25
中場,tiong-tiûnn,25
中子,tiong-jí,25
中子,tiong-lí,25
中線,tiong-suànn,25
中鋒,tiong-hong,25
主審,tsú-sím,25
乳液,jú-i̍k,25
乳液,lú-i̍k,25
二軍,jī-kun,25
二軍,lī-kun,25
人熊,lâng-hîm,25
人陣,lâng-tīn,25
介面,kài-bīn,25
仙楂,sian-tsa,25
代打,tāi-tánn,25
代走,tāi-tsáu,25
低球,kē-kiû,25
侵蝕,tshim-si̍t,25
俗麭,sio̍k-pháng,25
保溼,pó-sip,25
保送,pó-sàng,25
修容,siu-iông,25
倒子,tò-jí,25
倒子,tò-lí,25
倒投,tò-tâu,25
倒拍,tò-phah,25
倒支,tò-ki,25
倫敦,lûn-tun,25
健力,kiān-li̍k,25
健美,kiān-bí,25
側投,tshik-tâu,25
偷壘,thau-luí,25
備份,pī-hūn,25
傭兵,iông-ping,25
傳球,thuân-kiû,25
優格,iu-keh,25
光面,kng-bīn,25
入數,ji̍p-siàu,25
入數,li̍p-siàu,25
內建,luē-kiàn,25
內文,lāi-bûn,25
內野,lāi-iá,25
全妝,tsuân-tsong,25
全馬,tsuân-má,25
全麥,tsuân-be̍h,25
兩塊,nn̄g-tè,25
八角,peh-kak,25
八角,pueh-kak,25
公論,kong-lūn,25
冊迷,tsheh-bê,25
冰壺,ping-ôo,25
冰沙,ping-sua,25
冰磚,ping-tsng,25
冷麵,líng-mī,25
凝霜,gîng-song,25
凝露,gîng-lōo,25
刀術,to-su̍t,25
分道,pun-tō,25
分頁,hun-ia̍h,25
切球,tshiat-kiû,25
刣掉,thâi-tiāu,25
利劍,lāi-kiàm,25
刪除,san-tî,25
刪除,san-tû,25
制衡,tsè-hîng,25
刺殺,tshì-sat,25
前跤,tsîng-kha,25
剪接,tsián-tsiap,25
剪輯,tsián-tsi̍p,25
劍術,kiàm-su̍t,25
加碼,ka-bé,25
助殺,tsōo-sat,25
勝投,sìng-tâu,25
勼排,kiu-pâi,25
匿名,li̍k-miâ,25
半勝,puànn-sìng,25
半馬,puànn-má,25
協作,hia̍p-tsok,25
南刀,lâm-to,25
南拳,lâm-kûn,25
南棍,lâm-kùn,25
卡粉,kha̍h-hún,25
卵塔,nn̄g-thah,25
卸妝,sià-tsong,25
厚妝,kāu-tsong,25
厝貸,tshù-tāi,25
反向,huán-hiòng,25
口碑,kháu-pi,25
可送,khó-sòng,25
司康,sir-kóng,25
司康,su-kóng,25
合球,ha̍p-kiû,25
吊環,tiàu-khuân,25
同步,tông-pōo,25
和絃,hô-hiân,25
咖哩,ka-lí,25
品勢,phín-sè,25
啞鈴,à-lîng,25
啟用,khé-iōng,25
單巡,tuann-sûn,25
單打,tan-tánn,25
單槓,tan-kǹg,25
回合,huê-ha̍p,25
回合,hê-ha̍p,25
回沖,huê-tshiong,25
回沖,hê-tshiong,25
圍棋,uî-kî,25
圖示,tôo-sī,25
地板,tuē-pán,25
地板,tē-pán,25
坦邊,thán-pinn,25
場務,tiûnn-bū,25
墜機,tuī-ki,25
壁球,piah-kiû,25
壓制,ap-tsè,25
壘包,luí-pau,25
壘球,luí-kiû,25
壯遊,tsōng-iû,25
壺鈴,ôo-lîng,25
外遇,guā-gū,25
外野,guā-iá,25
大叉,tuā-tshah,25
大寫,tuā-siá,25
大骨,tuā-kut,25
大麥,tuā-be̍h,25
失事,sit-sū,25
失分,sit-hun,25
失誤,sit-gōo,25
夾殺,kiap-sat,25
奈米,nāi-bí,25
奕手,ī-tshiú,25
奕跤,ī-kha,25
套用,thò-iōng,25
套路,thò-lōo,25
