tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,itaigi
tio̍h,著,46783,tio̍h,tioh8,tioh8,tioh,tioh,,,True
m̄,毋,39475,m̄,m7,m7,m,m,,,True
koh,閣,29890,koh,koh4,koh4,koh,koh,,,True
lí,你,27089,lí,li2,li2,li,li,,,True
hōo,予,24836,hō͘,hoo7,hoo7,hoo,hoo,,,True
hó,好,23707,hó,ho2,ho2,ho,ho,,,True
tsiū,就,21083,chiū,tsiu7,chiu7,tsiu,chiu,,,True
teh,咧,17229,teh,teh4,teh4,teh,teh,,,True
lāi,內,14406,lāi,lai7,lai7,lai,lai,,,True
ji̍t,日,14244,ji̍t,jit8,jit8,jit,jit,,,True
tsāi,在,14062,chāi,tsai7,chai7,tsai,chai,,,True
kang,工,12379,kang,kang1,kang1,kang,kang,,,True
lāu,老,11954,lāu,lau7,lau7,lau,lau,,,True
bē,袂,11866,bē,be7,be7,be,be,,,True
lí,理,11858,lí,li2,li2,li,li,,,True
láng,攏,11219,láng,lang2,lang2,lang,lang,,,True
thiann,聽,10741,thiaⁿ,thiann1,thiann1,thiann,thiann,,,True
tshuì,喙,9364,chhùi,tshui3,chhui3,tshui,chhui,,,True
hong,風,9297,hong,hong1,hong1,hong,hong,,,True
iánn,影,9036,iáⁿ,iann2,iann2,iann,iann,,,True
leh,咧,8857,leh,leh4,leh4,leh,leh,,,True
kah,甲,8530,kah,kah4,kah4,kah,kah,,,True
hái,海,8273,hái,hai2,hai2,hai,hai,,,True
hiān,現,6999,hiān,hian7,hian7,hian,hian,,,True
àm,暗,6574,àm,am3,am3,am,am,,,True
thong,通,6564,thong,thong1,thong1,thong,thong,,,True
miâ,名,6546,miâ,mia5,mia5,mia,mia,,,True
tshing,清,6424,chheng,tshing1,chheng1,tshing,chheng,,,True
í,已,5841,í,i2,i2,i,i,,,True
khai,開,5693,khai,khai1,khai1,khai,khai,,,True
suah,煞,4845,soah,suah4,soah4,suah,soah,,,True
tsí,子,4660,chí,tsi2,chi2,tsi,chi,,,True
tik,竹,4383,tek,tik4,tek4,tik,tek,,,True
sái,屎,4331,sái,sai2,sai2,sai,sai,,,True
tshân,田,4120,chhân,tshan5,chhan5,tshan,chhan,,,True
khuân,權,3973,khoân,khuan5,khoan5,khuan,khoan,,,True
hūn,份,3815,hūn,hun7,hun7,hun,hun,,,True
pn̄g,飯,3685,pn̄g,png7,png7,png,png,,,True
kut,骨,3660,kut,kut4,kut4,kut,kut,,,True
kak,角,3575,kak,kak4,kak4,kak,kak,,,True
sai,師,3410,sai,sai1,sai1,sai,sai,,,True
ti̍k,特,3397,te̍k,tik8,tek8,tik,tek,,,True
thôo,塗,3339,thô͘,thoo5,thoo5,thoo,thoo,,,True
tìn,鎮,2950,tìn,tin3,tin3,tin,tin,,,True
làu,落,2916,làu,lau3,lau3,lau,lau,,,True
sû,詞,2871,sû,su5,su5,su,su,,,True
tó,倒,2836,tó,to2,to2,to,to,,,True
uá,倚,2834,óa,ua2,oa2,ua,oa,,,True
pîng,爿,2834,pêng,ping5,peng5,ping,peng,,,True
tshuā,𤆬,2833,chhōa,tshua7,chhoa7,tshua,chhoa,,,True
suí,媠,2774,súi,sui2,sui2,sui,sui,,,True
kíng,景,2750,kéng,king2,keng2,king,keng,,,True
tâu,投,2494,tâu,tau5,tau5,tau,tau,,,True
gâu,𠢕,2377,gâu,gau5,gau5,gau,gau,,,True
piah,壁,2374,piah,piah4,piah4,piah,piah,,,True
tsiáu,鳥,2362,chiáu,tsiau2,chiau2,tsiau,chiau,,,True
kenn,經,2304,keⁿ,kenn1,kenn1,kenn,kenn,,,True
tān,但,2284,tān,tan7,tan7,tan,tan,,,True
kóo,鼓,2258,kó͘,koo2,koo2,koo,koo,,,True
ìn,印,2149,ìn,in3,in3,in,in,,,True
tsu,珠,2117,chu,tsu1,chu1,tsu,chu,,,True
a,亞,2083,a,a1,a1,a,a,,,True
nńg,軟,1998,nńg,nng2,nng2,nng,nng,,,True
tàu,鬥,1921,tàu,tau3,tau3,tau,tau,,,True
tshuē,揣,1852,chhōe,tshue7,chhoe7,tshue,chhoe,,,True
tsíng,整,1822,chéng,tsing2,cheng2,tsing,cheng,,,True
tóo,肚,1802,tó͘,too2,too2,too,too,,,True
iù,幼,1785,iù,iu3,iu3,iu,iu,,,True
phài,派,1780,phài,phai3,phai3,phai,phai,,,True
