"DictWordID","PojUnicode","PojUnicodeOthers","PojInput","PojInputOthers","HanLoTaibunPoj","KaisoehHanLoPoj","LekuHanLoPoj","KipUnicode","KipUnicodeOthers","KipInput","KipInputOthers","HanLoTaibunKip","KaisoehHanLoKip","LekuHanLoKip","PageNumber","GoanchhehPoochhiongChuliau"
"1","a","","a","","鴉","烏鴉。「鴉」有「反哺之義」。","","a","","a","","鴉","烏鴉。「鴉」有「反哺之義」。","","A0001",""
"2","a","","a","","啊","(tio̍h驚等等ê驚歎詞)。","∼ ！ 真不可思議！","a","","a","","啊","(tio̍h驚等等ê驚歎詞)。","∼ ！ 真不可思議！","A0001",""
"3","a","","a","","阿","(親密或尊敬之意ê詞頭)。","∼ 兄、∼ 公、∼ 母、∼ 姊。","a","","a","","阿","(親密或尊敬之意ê詞頭)。","∼ 兄、∼ 公、∼ 母、∼ 姊。","A0001",""
"4","á","","a2","","仔","詞尾。
(1)細ê意思。
(2)輕視ê意思。
(3)調整語調ê詞。
(4)親蜜或尊敬之意。
(5)簡單、sió-khóa。
(6)明確指訂所在á是數目ê時陣。","(1)狗∼、鳥∼、豆∼。
(2)番∼、警察∼。
(3)柱(thiāu) ∼、樹∼、牆∼。
(4)江海∼ ＝江海先生；日春∼ ＝日春先生。
(5)作彩∼ ＝sió-khóa充喜(改運)；看māi ∼ ；chám然∼ ＝相當青青∼ ＝sió-khóa青青。
(6)chit塊 ∼、兩個∼ ＝只有兩個。","á","","a2","","仔","詞尾。
(1)細ê意思。
(2)輕視ê意思。
(3)調整語調ê詞。
(4)親蜜或尊敬之意。
(5)簡單、sió-khuá。
(6)明確指訂所在á是數目ê時陣。","(1)狗∼、鳥∼、豆∼。
(2)番∼、警察∼。
(3)柱(thiāu) ∼、樹∼、牆∼。
(4)江海∼ ＝江海先生；日春∼ ＝日春先生。
(5)作彩∼ ＝sió-khuá充喜(改運)；看māi ∼ ；tsám然∼ ＝相當青青∼ ＝sió-khuá青青。
(6)chit塊 ∼、兩個∼ ＝只有兩個。","A0001",""
"5","á","","a2","","尚","(1)猶。
(2)相當。","(1)∼ 有＝猶有；∼ 你neh？ ∼ koh一pái； ∼ 無＝已經無。
(2)∼ 美(súi)＝相當美；∼ 勇＝相當勇。","á","","a2","","尚","(1)猶。
(2)相當。","(1)∼ 有＝猶有；∼ 你neh？ ∼ koh一pái； ∼ 無＝已經無。
(2)∼ 美(suí)＝相當美；∼ 勇＝相當勇。","A0001",""
"6","á","","a2","","也","或者。","有á無；是∼ m̄是。","á","","a2","","也","或者。","有á無；是∼ m̄是。","A0001",""
"7","á","","a2","","阿","(泉)(親密或尊敬之意ê詞頭)。","∼ 爹、∼ 伯、∼ 娘＝Á母。","á","","a2","","阿","(泉)(親密或尊敬之意ê詞頭)。","∼ 爹、∼ 伯、∼ 娘＝Á母。","A0001",""
"8","à-à","","a3-a3","","à-à","","味∼∼＝變味。","à-à","","a3-a3","","à-à","","味∼∼＝變味。","A0002",""
"9","à-à","","a3-a3","","啞啞","","∼∼ 叫＝烏鴉等等ê鳥á á á háu。","à-à","","a3-a3","","啞啞","","∼∼ 叫＝烏鴉等等ê鳥á á á háu。","A0002",""
"10","á-bē","","a2-be7","","猶未","＝[尚(iá)未]。","","á-bē","","a2-be7","","猶未","＝[尚(iá)未]。","","A0008",""
"11","á-bōe","","a2-boe7","","尚未","＝[尚未(bē)]。","","á-buē","","a2-bue7","","尚未","＝[尚未(bē)]。","","A0008",""
"12","á-chhiâu","","a2-chhiau5","","阿誚","(戲)憨呆，糊塗亂來。","","á-tshiâu","","a2-tshiau5","","阿誚","(戲)憨呆，糊塗亂來。","","A0004",""
"13","á-î","","a2-i5","","á-î","蟬ê一種＝庵(am)埔(po͘)蟬。","","á-î","","a2-i5","","á-î","蟬ê一種＝庵(am)埔(poo)蟬。","","A0002",""
"14","á-kiáⁿ","","a2-kiann2","","阿囝","(泉)稱呼家己ê kiáⁿ。","","á-kiánn","","a2-kiann2","","阿囝","(泉)稱呼家己ê kiánn。","","A0003",""
"15","á-pá","","a2-pa2","","á-pá","(1)gín-á sai-nai討物件ê聲。
(2)吞占，併吞。","(2)家伙hō͘伊 ∼∼ 了了＝財產lóng hō͘伊吞占去。","á-pá","","a2-pa2","","á-pá","(1)gín-á sai-nai討物件ê聲。
(2)吞占，併吞。","(2)家伙hōo伊 ∼∼ 了了＝財產lóng hōo伊吞占去。","A0005",""
"16","á-sī","","a2-si7","","抑是","或是、或者、乃至。","是chit-ê ∼∼ hit個。","á-sī","","a2-si7","","抑是","或是、或者、乃至。","是chit-ê ∼∼ hit個。","A0004",""
"17","à","","a3","","啞","(文)啞口，臭耳人。","聾啞。","à","","a3","","啞","(文)啞口，臭耳人。","聾啞。","A0001",""
"18","à","","a3","","亞","第二。","∼ 軍＝第二名；∼ 聖＝第二聖人。","à","","a3","","亞","第二。","∼ 軍＝第二名；∼ 聖＝第二聖人。","A0001",""
"19","à","","a3","","à","食物等臭去ê味。","味真∼。","à","","a3","","à","食物等臭去ê味。","味真∼。","A0001",""
"20","à","","a3","","呵","(忽然想起tāi-chì， á是驚tio̍h ê時ê驚歎詞)。","∼ 我beh來去；∼ soah bē記得。","à","","a3","","呵","(忽然想起tāi-tsì， á是驚tio̍h ê時ê驚歎詞)。","∼ 我beh來去；∼ soah bē記得。","A0001",""
"21","à-goân","","a3-goan5","","亞元","(文)得tio̍h進士考試第二名。","","à-guân","","a3-guan5","","亞元","(文)得tio̍h進士考試第二名。","","A0003",""
"22","à-khoe","","a3-khoe","","亞魁","得tio̍h舉人考試第二名。","","à-khue","","a3-khue","","亞魁","得tio̍h舉人考試第二名。","","A0003",""
"23","à-khó͘","","a3-khoo2","","啞口","恬恬無話。","啞口無言＝話lóng講bē出。","à-khóo","","a3-khoo2","","啞口","恬恬無話。","啞口無言＝話lóng講bē出。","A0003",""
"24","à-lêng","","a3-leng5","","啞鈴","運動器具ê一種。","∼∼ 體操。","à-lîng","","a3-ling5","","啞鈴","運動器具ê一種。","∼∼ 體操。","A0008",""
"25","à-pà","","a3-pa3","","拗霸","gín-á剛強ê個性。","gín-á真à-pà=gín-á個性橫pà-pà。","à-pà","","a3-pa3","","拗霸","gín-á剛強ê個性。","gín-á真à-pà=gín-á個性橫pà-pà。","A0006",""
"26","à-sèng","","a3-seng3","","亞聖","＝孟子。","","à-sìng","","a3-sing3","","亞聖","＝孟子。","","A0004",""
"27","â","","a5","","呵","( 驚tio̍h ê時ê驚歎詞)。","∼ 天窗漏--lah。","â","","a5","","呵","( 驚tio̍h ê時ê驚歎詞)。","∼ 天窗漏--lah。","A0001",""
"28","ā","","a7","","亦/也","＝亦、也。","","ā","","a7","","亦/也","＝亦、也。","","A0001",""
"29","ā","","a7","","呵","( 怨嘆ê時ê驚歎詞)。","∼ 你心肝chiah硬。","ā","","a7","","呵","( 怨嘆ê時ê驚歎詞)。","∼ 你心肝chiah硬。","A0001",""
"30","ā-chê","","a7-che5","","亦一個","＝[亦有一個]。","","ā-tsê","","a7-tse5","","亦一個","＝[亦有一個]。","","A0004",""
"31","ā-chi̍t-ê","","a7-chit8-e5","","亦一個","＝[亦有一個]。","","ā-tsi̍t-ê","","a7-tsit8-e5","","亦一個","＝[亦有一個]。","","A0005",""
