tl,hanzi,frequency
ê,的,184693
sī,是,103109
á,仔,90696
i,伊,63255
bô,無,63119
lâi,來,58294
ū,有,53685
lâng,人,52526
tsi̍t,一,44439
kóng,講,40867
khì,去,38728
guá,我,36961
thâu,頭,34601
sî,時,32755
tâi,台,31281
tsin,真,31026
tuā,大,30086
koh,閣,29890
a,阿,29473
tse,這,27958
khuànn,看,27720
lí,你,27089
sim,心,25770
tshut,出,25088
sóo,所,24281
hó,好,23707
huē,會,23113
hē,會,23113
tuì,對,22528
jîn,人,22442
bûn,文,22064
hit,彼,21517
iú,有,21336
tsiū,就,21083
kok,國,21044
ài,愛,19415
bīn,面,18694
tsuè,做,18482
ngóo,我,18480
tiong,中,18403
ha̍k,學,18199
tsuí,水,18181
kā,共,18073
lán,咱,17922
kàu,到,17333
iōng,用,17269
āu,後,17177
nî,年,16886
it,一,16762
uē,話,16729
khí,起,16425
lōo,路,16368
tsia̍h,食,15378
tsú,主,15274
kàu,教,15246
tshiú,手,15155
iā,也,15065
lāi,內,14406
ji̍t,日,14244
tāi,代,14215
kong,公,14120
tsāi,在,14062
káng,講,13931
put,不,13916
pún,本,13828
guā,外,13765
khah,較,13499
liáu,了,13495
í,以,13230
sū,事,13101
uî,為,12403
kang,工,12379
tik,得,12251
tshin,親,12094
ū,豫,12082
ì,意,12059
huat,法,11954
lāu,老,11954
tāi,大,11861
lí,理,11858
nā,若,11582
khu,區,11573
ka,家,11523
bîn,民,11383
khuán,款,11269
siōng,上,11260
sí,死,11257
lóng,攏,11219
sin,身,10865
suann,山,10820
tshia,車,10763
thiann,聽,10741
bu̍t,物,10612
hiong,鄉,10443
kè,過,10205
siann,聲,10175
in,因,10098
sin,新,10069
uan,灣,9981
ba̍k,目,9818
khui,開,9713
sing,生,9626
si̍t,實,9621
hong,風,9297
tsîng,情,9238
kám,感,9228
pe̍h,白,9226
king,經,9218
jī,字,9159
huat,發,9126
kim,金,9080
iánn,影,9036
bóo,某,9022
siū,受,8975
tshù,厝,8959
iáu,猶,8915
tsóng,總,8896
tsai,知,8879
tíng,頂,8873
tio̍h,着,8871
oo,烏,8830
tuē,地,8822
tē,地,8822
tōng,動,8786
sîn,神,8753
lo̍h,落,8749
nih,呢,8729
sió,小,8653
huà,化,8649
hun,分,8581
tsi̍t,疾,8554
tsū,自,8553
im,音,8544
kah,甲,8530
sinn,生,8389
tsînn,錢,8339
hái,海,8273
tng,當,8208
bîng,明,8206
siánn,啥,8104
tsok,作,8045
siá,寫,7896
hàn,漢,7881
mn̂g,門,7855
guân,原,7811
kiò,叫,7760
tè,帝,7740
hue,花,7690
an,安,7594
kiàn,見,7496
siūnn,想,7440
sîng,成,7428
kiánn,囝,7404
ti,知,7399
bí,美,7337
tsiūnn,上,7319
sìn,信,7276
tē,第,7248
tīng,定,7244
kín,緊,7239
thian,天,7219
kú,久,7160
tshài,菜,7141
ka,加,7091
ti̍t,直,7087
tō,道,7076
bé,馬,7067
ua̍h,活,7040
tiám,點,7036
sióng,想,7002
hiān,現,6999
giân,言,6993
bú,母,6956
lah,啦,6933
li̍k,力,6904
kháu,口,6893
kiann,驚,6862
uī,位,6819
pháinn,歹,6780
lâm,南,6771
tsú,子,6716
tsiah,即,6699
sìng,性,6699
tiān,電,6698
thinn,天,6685
tsá,早,6579
àm,暗,6574
siōng,像,6566
thong,通,6564
miâ,名,6546
iàu,要,6521
tik,的,6480
lūn,論,6468
bé,尾,6428
tshing,清,6424
tsiá,者,6376
tsáu,走,6360
sik,色,6336
ki,機,6318
tsì,誌,6282
tsìng,政,6271
ìng,應,6270
piàn,變,6266
pak,北,6253
siā,社,6244
miā,命,6224
siông,常,6189
sian,先,6185
pò,報,6183
su,師,6182
tōo,度,6182
hîng,行,6167
pài,拜,6127
lín,恁,6106
kái,解,6019
hōo,后,5946
ji̍p,入,5922
kì,記,5887
kan,間,5883
king,間,5883
tsuân,全,5864
kuan,關,5852
í,已,5841
hé,火,5835
khóo,苦,5829
sè,世,5826
lé,禮,5818
thê,提,5795
bû,無,5793
ūn,運,5740
