hanzi,tl
漆碗,tshat-uánn
漆盤,tshat-puânn
漆畫,tshat-uē
脫胎漆器,thuat-thai-tshat-khì
竹鋏仔,tik-giap-á
粉筒,hún-tâng
牛角,gû-kak
樹奶桮仔,tshiū-ling-pue-á
畫筆,uē-pit
塑膠桮刀,sok-ka-pue-to
木桮刀,bo̍k-pue-to
漆筅,tshat-tshíng
烏漆,oo-tshat
透明漆,thàu-bîng-tshat
生漆,tshenn-tshat
色漆,sik-tshat
色粉,sik-hún
樟腦油,tsiunn-ló-iû
松節油,siông-tsiat-iû
沙拉油,sa-lá-iû
熟桐油,si̍k-tâng-iû
柿仔汁,khī-á-tsiap
水油,tsuí-iû
樟腦沙,tsiunn-ló-sua
棉布,mî-pòo
麻布,muâ-pòo
黃塗粉,n̂g-thôo-hún
水粗紙,tsuí-tshoo-tsuá
乾漆粉,kan-tshat-hún
螺仔片,lê-á-phìnn
銀箔仔,gîn-po̍h-á
金箔仔,kim-po̍h-á
卵殼,nn̄g-khak
柴胎,tshâ-thai
竹胎,tik-thai
塗胚,thôo-phue
掃梳笒仔,sàu-se-gím-á
雞籠,ke-lang
筍屏仔,sún-pîn-á
龜骿,ku-phiann
深篩仔,tshim-thai-á
茶籠仔,tê-láng-á
竹𥴊仔,tik-kám-á
氣死貓,khì-sí-niau
𣛮籃,siā-nâ
湯匙,thng-sî
飯匙,pn̄g-sî
煎匙,tsian-sî
籤筒,tshiam-tâng
鉛筆盒仔,iân-pit-a̍p-á
鞋拔仔,ê-pue̍h-á
水𣁳仔,tsuí-khat-á
籠鋪仔,láng-phoo-á
瓜笠仔,kue-le̍h-á
竹夫人,tik-hu-jîn
牛喙罨,gû-tshuì-am
魚籠仔,hî-láng-á
敲薰屎,khà hun-sái
火籠,hué-lang
茶米黜仔,tê-bí-thuh-á
茶杯仔,tê-pue-á
竹仔箸,tik-á-tī
竹管仔飯,tik-kóng-á-pn̄g
飯攕仔,pn̄g-tshiám-á
飯篱,pn̄g-lē
茶疊仔,tê-thia̍p-á
筆筒,pit-tâng
香筒,hiunn-tâng
桌崁,toh-khàm
跋桮,pua̍h-pue
竹扇,tik-sìnn
𥰔仔,phín-á
洞簫,tōng-siau
畚箕,pùn-ki
扁擔,pún-tann
竹梳,tik-se
茶罐仔,tê-kuàn-á
竹仔枕頭,tik-á-tsím-thâu
穀亭畚,kok-tīng-pùn
捀盤,phâng-puânn
炊仔,tshue-á
菜砧,tshài-tiam
花枱仔,hue-tâi-á
抓耙仔,jiàu-pê-á
竹仔屏風,tik-á pîn-hong
坐禪椅,tsē-siâm-í
食飯桌仔,tsia̍h-pn̄g-toh-á
奶母車仔,ling-bó-tshia-á
椅頭仔,í-thâu-á
電鑽,tiān-tsǹg
鑿仔,tsha̍k-á
竹尺,tik-tshioh
倒角仔,tò-kak-á
彎仔鋸,uan-á-kì
竹篾仔,tik-bi̍h-á
人面竹,lâng-bīn-tik
四方竹,sù-hong-tik
竹根,tik-kin
批塗,phi-thôo
鋪面,phoo-bīn
鑿空,tsha̍k-khang
包管,pau-kóng
壓扒,ah-pe
橫杆仔,huâinn-kuainn-á
刮青,kueh-tshenn
破竹仔,phuà-tik-á
起竹背,khí-tik-puè
對破,tuì-phuà
幼破,iù-phuà
定闊,tīng-khuah
搝厚薄,giú-kāu-po̍h
倒角,tò-kak
保青,pó-tshenn
薰竹仔,hun-tik-á
食生漆,tsia̍h-tshenn-tshat
夾枋,kiap-pang
拗彎,áu-uan
硩ㄧ,teh-it
風車花,hong-tshia-hue
硩二,teh-jī
硩三,teh-sann
竹編,tik-pinn
竹雕,tik-tiau
風鼓,hong-kóo
工作椅,kang-tsok-í
工作台,kang-tsok-tâi
魚仔盤,hî-á-puânn
蝦仔盤,hê-á-puânn
花盆仔,hue-phûn-á
油筒仔,iû-tâng-á
醬菜甕仔,tsiùnn-tshài-àng-á
角坩,kak-khann
烘爐,hang-lôo
鹽筒仔,iâm-tâng-á
狗母鍋仔,káu-bó-ue-á
燖筒仔,tīm-tâng-á
醃缸,am-kng
龍罐,lîng-kuàn
油燈罩,iû-ting-tà
燭台,tsik-tâi
鼓椅,kóo-í
桌跤蛰仔,toh-kha-tinn-á
豬油甕仔,ti-iû-àng-á
廟尪仔,biō-ang-á
博古,phok-kóo
花鳥走獸,hue-tsiáu-tsáu-siù
壁堵,piah-tóo
水車堵,tsuí-tshia-tóo
尪仔頭,ang-á-thâu
三花,sam-hue
小生,sió-sing
童子,tông-tsú
小旦,sió-tuànn
武將,bú-tsiòng
堵頭,tóo-thâu
帶騎,tài-khiâ
花鳥,hue-tsiáu
水族,tsuí-tso̍k
亭仔景,tîng-á-kíng
浮雕堵,phû-tiau-tóo
老生,lāu-sing
走獸,tsáu-siù
樹木,tshiū-bo̍k
山石仔,suann-tsio̍h-á
淋搪,lâm-thn̄g
金槓槌,kim-kòng-thuî
剪黏,tsián-liâm
石膏模,tsio̍h-ko-bôo
剾刀,khau-to
跳刀,thiàu-to
弓仔,king-á
比仔,pí-á
空透,khang-thàu
逝板,tsuā-pán
花板,hue-pán
角甪,kah-lut
石錘,tsio̍h-thuî
開板,khui-pán
立板,li̍p-pán
抾板,khioh-pán
漆釉的筆,tshat-iu ê pit
花匙仔,hue-sî-á
銅針,tâng-tsiam
梳仔,se-á
銅管,tâng-kóng
