hanzi,tl,frequency
邊,pinn,5350
畫,uē,2560
龜,ku,2000
刻,khik,1154
黏,liâm,969
鏡,kiànn,750
割,kuah,700
剪,tsián,400
尺,tshioh,400
毛,moo,384
堆,tui,350
塑,sok,300
摃,kòng,300
貼,tah,300
敲,khà,200
疊,tha̍h,200
設計,siat-kè,101
鶴,ho̍h,100
捏,liap,50
繞,liáu,50
iōng碗,iōng-uánn,25
khò-té,khò-té,25
一吞,tsi̍t-thun,25
三花,sam-hue,25
九層,káu-tsan,25
令旗,līng-kî,25
作椅,tsoh-í,25
保青,pó-tshenn,25
修光,siu-kng,25
倒角,tò-kak,25
傍仔,png-á,25
冷盤,líng-puânn,25
凹剾,nah-khau,25
出芽,tshut-gê,25
分座,hun-tsō,25
分線,pun-suànn,25
切仔,tshiat-á,25
切檯,tshiat-tâi,25
切針,tshiat-tsiam,25
刮刀,kueh-to,25
刮青,kueh-tshenn,25
刻字,khik-jī,25
刻花,khik-hue,25
剪仔,tsián-á,25
剪黏,tsián-liâm,25
剾刀,khau-to,25
剾枋,khau-pang,25
劍指,kiàm-kí,25
劍獅,kiàm-sai,25
包布,pau-pòo,25
包管,pau-kóng,25
化色,huà-sik,25
北式,pak-sik,25
南式,lâm-sik,25
博古,phok-kóo,25
印台,ìn-tâi,25
印花,ìn-hue,25
卵殼,nn̄g-khak,25
古錢,kóo-tsînn,25
吊夾,tiàu-ngeh,25
吊花,tiàu-hue,25
吊鑽,tiàu-tsǹg,25
名牌,bîng-pâi,25
吟龍,gîm-lîng,25
喙舌,tshuì-tsi̍h,25
噴漆,phùn-tshat,25
噴膠,phùn-ka,25
噴銃,phùn-tshìng,25
圍巾,uî-kin,25
圓桶,înn-táng,25
圓目,înn-ba̍k,25
地磅,tē-pōng,25
坐五,tsē-gōo,25
堆的,tui-ê,25
堵頭,tóo-thâu,25
塔啾,tah-tshiu,25
塔梯,thah-thui,25
塔舌,thah-tsi̍h,25
塗捀,thôo-phâng,25
塗朱,thôo-tsu,25
塗紙,thôo-tsuá,25
塗胚,thôo-phue,25
塭仔,un-á,25
墜仔,tuī-á,25
墨斗,ba̍k-táu,25
壁堵,piah-tóo,25
壓扒,ah-pe,25
大破,tuā-phuà,25
大菁,tuā-tshinn,25
大鏨,tuā-tsām,25
夾仔,ngeh-á,25
夾枋,kiap-pang,25
如意,jû-ì,25
定kô,tīng-kô,25
定闊,tīng-khuah,25
寄線,kià-suànn,25
寶扇,pó-sìnn,25
封帽,hong-bō,25
對破,tuì-phuà,25
小旦,sió-tuànn,25
小生,sió-sing,25
小菁,sió-tshinn,25
尺鎚,tshioh-thuî,25
屏風,pîn-hong,25
巧雕,khá-tiau,25
布枋,pòo-pang,25
布碖,pòo-lún,25
帶鋸,tuà-kù,25
帶騎,tài-khiâ,25
平尺,phînn-tshioh,25
平枋,pênn-pang,25
幼破,iù-phuà,25
幼胚,iù-phue,25
幼蔥,iù-tshong,25
幼針,iù-tsiam,25
度針,tōo-tsiam,25
弓仔,king-á,25
弓枋,king-pang,25
彎剾,uân-khau,25
彩繪,tshái-uē,25
徛七,khiā-tshit,25
徛心,khiā-sim,25
