beh,欲,卜
mài,莫,勿
leh,咧,塊
teh,咧,塊
siáⁿ,啥,省
siâu,潲,屑
mih,物,乜
khoán,款,欵
kah,佮,甲
kap,佮,甲
tī,佇,治
hō͘,予,乎
hit,迄,喜
ê,個,个
chia,遮,者
chiah,遮,者
nī,爾,哖
nih,爾,哖
niā,爾,定
hia,遐,靴
chiah,才,即
khah,較,卡
choa̍h,縒,咀
khioh,抾,拾
tio̍h,著,着
to̍h,著,着
tiō,著,着
tō,著,着
tō,就,着
a,矣,啊
ah,矣,啊
o͘h,喔,噢
iu,猶,由
iáu,猶,夭
m̄,毋,不
ia̍h,抑,也
iā,抑,也
ā,抑,也
ia̍h,亦,也
iā,亦,也
ā,亦,也
kàn,姦,諫
sa,捎,沙
sá,灑,沙
sà,嗄,沙
sai,揌,獅
chhi̍h,揤,市
ji̍h,揤,市
tó,佗,叨
tá,佗,叨
se̍h,踅,迺
sù,舒,四
sī,適,示
kha,尻,脚
phóe,䫌,肶
chhùi,喙,嘴
kho͘,箍,篐
kha,跤,脚
tâng,胴,銅
teⁿ,蹬,㬹
gín,囡,囝
kiáⁿ,囝,子
phí,疕,丕
chheh,冊,册
lóng,攏,朗
chhōe,揣,尋
