scope,area,status,slice_or_release,platform,native_path,native_symbol,rust_crate,rust_path,entity_type,entity_name,description_zh_tw,migration_notes
file,_meta,rust_shipped,n/a,n/a,,,,,readme,SNAPSHOT,"快照日期 2026-05-05（Phase IV-B 收工：v3.5.7 EnabledDictionaries slice 合併 + 9 筆 native_pending 重分類為 native_keep — autocomplete glue × 3 + EngineSettings/Provider protocols × 4 + InputMode/ToneToggles 值型別 × 2 = thin shells / interfaces / display enums，無剩餘演算法可遷移。所有跨平台演算法皆在 Rust）。schema 與 Codex 共同議定：scope/area/status/slice_or_release/platform/native_path/native_symbol/rust_crate/rust_path/entity_type/entity_name/description_zh_tw/migration_notes。status 五階：rust_shipped / rust_partial / native_pending / native_keep / wont_migrate。",請於每次 slice 合併後手動更新此檔；shared-core-readiness.md 為歷史候選 doc，已 outdated（多數候選檔案隨 Path G 政策已從 iOS/Android 刪除），以本檔為準。
module,phonetics,rust_shipped,v3.5.1-D9.4-Phonetics,rust_only,,,phonetics,engine/phonetics/src/lib.rs,crate,phonetics,「跨平台拼音核心：POJ/TL/TPS 的解析、聲調轉換、normalize、display 互轉、case-transform。整個 crate 為純邏輯（forbid unsafe_code），對外經 dispatch::handle 提供 proto 介面，亦透過 lib re-export 給 in-process Rust 呼叫。」,iOS/Android 對應原始檔已隨 PR #186 + PR #205 全數刪除（Path G）。
function,phonetics,rust_shipped,v3.5.1-D9.4-Phonetics,rust_only,,,phonetics,engine/phonetics/src/api.rs,function,parse_input_mode,「將 AppConfig.input_mode 字串（poj/tl/english/...）轉為強型別 InputMode；未知值預設為 Tl。」,
function,phonetics,rust_shipped,v3.5.1-D9.4-Phonetics,rust_only,,,phonetics,engine/phonetics/src/api.rs,function,preprocess_for_normalize_tone,「POJ 雙擊預處理：依 AppConfig 旗標將 oo→o͘、nn→鼻音記號 ⁿ；非 POJ 模式直接回傳。」,
function,phonetics,rust_shipped,v3.5.1-D9.4-Phonetics,rust_only,,,phonetics,engine/phonetics/src/api.rs,function,normalize_tone,「完整聲調流程：parse mode → POJ 雙擊預處理 → 套用聲調符號 → 鼻音記號大小寫修正。Method::NormalizeTone dispatch 的進入點。」,
function,phonetics,rust_shipped,v3.5.1-D9.4-Phonetics,rust_only,,,phonetics,engine/phonetics/src/api.rs,function,contains_tps,「判斷字串是否含 TPS（注音符號）。Composing 衍生顯示用來略過 POJ/TL 聲調轉換。」,
function,phonetics,rust_shipped,v3.5.1-D9.4-Phonetics,rust_only,,,phonetics,engine/phonetics/src/api.rs,function,to_tone_marks,「將以連字號分隔的拼音音節（含數字聲調）轉成帶聲調符號字串；TL/POJ 由模式決定排版規則，數字 1、4 維持不變。」,
function,phonetics,rust_shipped,v3.5.1-D9.4-Phonetics,rust_only,,,phonetics,engine/phonetics/src/api.rs,function,to_tone_number,「將帶聲調符號字串轉回以阿拉伯數字標示聲調的形式（依 NFD 解構掃描音節邊界）。」,
function,phonetics,rust_shipped,v3.5.1-D9.4-Phonetics,rust_only,,,phonetics,engine/phonetics/src/api.rs,function,poj_display_to_tl_display,「POJ 顯示字串 → TL 顯示字串轉換（保留聲調記號），逐音節重排版。」,
function,phonetics,rust_shipped,v3.5.1-D9.4-Phonetics,rust_only,,,phonetics,engine/phonetics/src/api.rs,function,tl_display_to_poj_display,「TL 顯示字串 → POJ 顯示字串轉換，逐音節重排版。」,
function,phonetics,rust_shipped,v3.5.1-D9.4-Phonetics,rust_only,,,phonetics,engine/phonetics/src/normalization.rs,function,normalize_input,"「Method::NormalizeInput 完整管線：TPS preprocess → 小寫 → 偵測聲調記號 → 切割音節 → 鼻音/o͘ 預處理 + 萃取數字聲調 + checked-ending 推論。產出 trie-query key。」",
function,phonetics,rust_shipped,v3.5.1-D9.4-Phonetics,rust_only,,,phonetics,engine/phonetics/src/normalization.rs,function,has_tone_marks,「判斷字串（NFD 後）是否含任一可辨識的聲調 combining mark。」,FFI 表面 2026-05-04 retired；Rust 內部使用保留。
function,phonetics,rust_shipped,v3.5.3-cleanup,rust_only,,,phonetics,engine/phonetics/src/normalization.rs,function,taigi_unicode_base_form,「外部辭典查詢與 ranking 比較基準用：鼻音記號 ⁿ/ᴺ→nn、NFD 解構、獨立 \\u{0358}→o（讓 o͘ 最終變成 oo）。」,iOS Lexicon/Utils/TaigiUnicode.swift 已隨 PR #192 刪除。
function,phonetics,rust_shipped,v3.5.1-D9.4-Phonetics,rust_only,,,phonetics,engine/phonetics/src/syllable.rs,function,strip_tone_mark,"「剝離音節聲調 combining mark，回傳 (bare, tone)；無聲調時 tone 為空字串。」",
function,phonetics,rust_shipped,v3.5.1-D9.4-Phonetics,rust_only,,,phonetics,engine/phonetics/src/syllable.rs,function,normalize_to_tl,「將輸入規範化為 TL 拼寫形式（POJ 拼法→TL 拼法）以便後續解析。」,
